Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador18_home,jogador19_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_away,jogador19_away
1,sex,2022-08-05,20:15,Benfica,2.7,0.4,Arouca,52617,Estádio do Sport Lisboa e Benfica,Manuel Mota,/pt/partidas/964f4501/Benfica-Arouca-2022Agosto5-Primeira-Liga,4.0,0.0,4-2-3-1,5-4-1,7.0,7.0,7.0,1.0,29.0,5.0,923.0,426.0,11.0,17.0,6.0,15.0,9.0,21.0,2.0,2.0,1.0,17.0,84.0,65.0,3.0,0.0,0.0,1.0,1.0,0.0,Odisseas Vlachodimos,Gilberto,Álex Grimaldo,David Neres,Enzo Fernández,João Mário,Rafa Silva,Nicolás Otamendi,Florentino Luís,Gonçalo Ramos,Morato,Helton Leite,Jan Vertonghen,Alexander Bah,Roman Yaremchuk,Chiquinho,Julian Weigl,Petar Musa,Henrique Araújo,Ignacio De Arruabarrena,Jerome Opoku,Quaresma,Arsénio Martins Lafuente Nunes,Alan Ruiz,Antony,João Othavio Basso,Oriol Busquets,Moses Yaw,Rafa Mújica,Tiago Esgaio,Emilijus Zubas,Morlaye Sylla,André Bukia,Bruninho,Bogdan Milovanov,Ismaila Soro,Mustafa Kizza,Vitinho
1,sáb,2022-08-06,15:30,Rio Ave,0.2,1.4,Vizela,3038,Estádio do Rio Ave Futebol Clube,Gustavo Correia,/pt/partidas/19380804/Rio-Ave-Vizela-2022Agosto6-Primeira-Liga,0.0,1.0,3-4-3,4-3-3,19.0,16.0,6.0,7.0,26.0,15.0,705.0,451.0,16.0,20.0,10.0,10.0,11.0,28.0,1.0,2.0,5.0,8.0,108.0,58.0,7.0,0.0,0.0,4.0,0.0,0.0,Jhonatan,Miguel Nóbrega,Gonçalo Rodrigues,Vítor Gomes,Joca,Abdul-Aziz Yakubu,Costinha,Pedro Amaral,Aderlan Santos,Paulo Vitor,André Pereira,Magrão,Leonardo Ruíz,Amine Oudrhiri,João Ferreira,Ukra,João Graça,Renato Pantalon,Zé Manuel,Fabijan Buntić,Bruno Wilson,Anderson Jesus,Raphael Guzzo,Kiko Bondoso,Monsuru Opeyemi,Alexis Méndez,Samu,Kévin Zohi,Christian Neiva Afonso,Tomás Costa Silva,Manuel Baldé,Carlos Isaac,Diego Rosa,Osama Rashid,Mohamed Aidara,Andrés Sarmiento,Alejandro Alvarado Jr.,Nuno Gonçalo Moreira
1,sáb,2022-08-06,18:00,Estoril,1.8,1.5,Famalicão,1473,Estádio António Coimbra da Mota,Nuno Almeida,/pt/partidas/94baf8c7/Estoril-Famalicao-2022Agosto6-Primeira-Liga,2.0,0.0,4-2-3-1,4-4-2,14.0,11.0,1.0,2.0,7.0,25.0,518.0,576.0,17.0,16.0,8.0,15.0,16.0,13.0,0.0,2.0,9.0,11.0,90.0,85.0,4.0,0.0,0.0,1.0,0.0,0.0,Daniel Leite,Bernardo Vital,Francisco Geraldes,Arthur,Tiago Gouveia,Pedro Álvaro,Mor Ndiaye,Joãozinho,Loreintz Rosier,João Carlos,Gonçalo Esteves,João Oliveira,Volnei Feltes,Rodrigo Martins,Serginho,Elias Achouri,Titouan Thomas,Gilson Tavares,Tiago Araújo,Luiz Lúcio Reis Júnior,Rúben Lima,Alexandre Penetra,André Simões,Álex Millán,Gustavo Assuncao,Junior Kadile,Rui Fonte,Dylan Batubinsika,Martin Agirregabiria,Heriberto Tavares,Ivan Zlobin,Owen Beck,Pedro Brazão,Hernán De La Fuente,Zaydou Youssouf,Jhonder Cádiz,Cláudio Silva,Théo Fonseca
1,sáb,2022-08-06,20:30,Porto,3.2,1.6,Marítimo,46309,Estádio Do Dragão,Hélder Malheiro,/pt/partidas/67a5dac8/Porto-Maritimo-2022Agosto6-Primeira-Liga,5.0,1.0,4-1-2-1-2,4-2-3-1,13.0,11.0,4.0,4.0,9.0,16.0,630.0,473.0,16.0,16.0,11.0,9.0,11.0,22.0,1.0,2.0,10.0,12.0,57.0,59.0,3.0,0.0,0.0,2.0,0.0,0.0,Diogo Costa,Pepe,Iván Marcano,Mateus Uribe,Mehdi Taremi,Pepê,Zaidu Sanusi,Marko Grujić,Danny Loader,João Mário Lopes,Evanilson,Cláudio Ramos,Fábio Cardoso,Gabriel Veron,Galeno,Wendell,Bruno Xavier Almeida Costa,Toni Martínez,Stephen Eustáquio,João Miguel Macedo Silva,Cláudio Winck,Matheus Costa,Zainadine Júnior,André Vidigal,Stefano Beltrame,Diogo Mendes,Miguel Sousa,Xadas,Léo Andrade,Diederrick Joel,Matouš Trmal,Moises Castillo,Pablo Moreno,Jesús Ramírez,Edgar Costa,Clésio Baúque,Luciano Vega,André Teles
1,dom,2022-08-07,14:30,Santa Clara,0.3,1.3,Casa Pia,1785,Estádio de São Miguel,Bruno Jose Costa,/pt/partidas/c35a0966/Santa-Clara-Casa-Pia-2022Agosto7-Primeira-Liga,0.0,0.0,4-4-2,3-4-3,15.0,13.0,7.0,6.0,21.0,17.0,604.0,557.0,13.0,17.0,14.0,14.0,11.0,28.0,0.0,2.0,7.0,6.0,71.0,52.0,1.0,1.0,0.0,3.0,0.0,0.0,Marco André Rocha Pereira,Kennedy Boateng,Allano,Anderson Carvalho,Kyosuke Tagawa,Ricardinho,Paulo Henrique Rodrigues Cabral,Cristian González,Gabriel Vieira,Victor Bobsin,Pierre Sagna,Ricardo Fernandes,Xavi Quintillà,Rúben Alexandre Gomes Oliveira,Rodrigo Valente,Adriano,Andrezinho,Pedro Bicalho,Paulo Godinho,Ricardo Batista,João Nunes,Leonardo Lelo,Saviour Godwin,Neto,Rafael Martins,Vasco Fernandes,Takahiro Kunimoto,Nermin Zolotić,Afonso Taira,Lucas Soares,Lucas Paes,Eduardo Fereira,Diogo Pinto,Cuca,Rogério Afonso,Isaac Monteiro,Anderson,Yan Brice Eteki
1,dom,2022-08-07,18:00,Braga,1.4,1.8,Sporting CP,17714,Estádio Municipal de Braga,Fábio Veríssimo,/pt/partidas/90989ec9/Braga-Sporting-CP-2022Agosto7-Primeira-Liga,3.0,3.0,4-4-2,3-4-3,14.0,17.0,3.0,3.0,15.0,13.0,500.0,577.0,14.0,14.0,7.0,14.0,20.0,19.0,2.0,0.0,10.0,13.0,79.0,54.0,2.0,0.0,0.0,2.0,0.0,0.0,Matheus,Victor Perea,Vítor Tormena,Sikou Niakaté,Nuno Sequeira,Almoatasem Al Musrati,André Horta,Ricardo Horta,Simon Banza,Iuri Medeiros,Vitinha,Tiago Sá,Rodrigo Gomes,Abel Ruiz,Álvaro djaló,Paulo Oliveira,Diego Lainez,Jean Gorby,Fabiano,Antonio Adán,Matheus Reis,Sebastián Coates,Hidemasa Morita,Matheus Nunes,Nuno Santos,Francisco Trincão,Paulinho,Pedro Porro,Gonçalo Inácio,Pedro Gonçalves,Franco Israel,Jerry St. Juste,Marcus Edwards,Manuel Ugarte Ribeiro,Rochinha,Abdul Fatawu Issahaku,Ricardo Esgaio,José Marsà
1,dom,2022-08-07,20:30,Portimonense,1.3,0.7,Boavista,2590,Estádio do Portimonense SC,Cláudio Ruivo Pereira,/pt/partidas/451775b5/Portimonense-Boavista-2022Agosto7-Primeira-Liga,0.0,1.0,4-1-4-1,3-4-3,13.0,11.0,7.0,1.0,25.0,16.0,762.0,496.0,17.0,16.0,14.0,10.0,12.0,34.0,0.0,1.0,2.0,9.0,87.0,88.0,3.0,0.0,0.0,1.0,0.0,0.0,Samuel Portugal,Willyan,Henrique Jocú,Anderson,Moustapha Seck,Fahd Moufi,Pedro Sá,Filipe Relvas,Paulo Estrela Moreira,Welinton Júnior,Yago Cariello,Payam Niazmand,Kosuke Nakamura,Zié Mohamed Ouattara,Ewerton,Luquinha,Wilinton Aponzá,Rui Gomes,,Rafael Bracalli,Reggie Cannon,Kenji Gorré,Yusupha Njie,Filipe Ferreira,Sebastián Pérez Cardona,Yanis Hamache,Rodrigo Abascal,Gaius Makouta,Luís Santos,Pedro Malheiro,João Gonçalves,Joel silva,Ilija Vukotić,Jeriel Córdova,Júlio Dabo,Martim Tavares,Pedro gomes,Tiago Fonseca Morais
1,dom,2022-08-07,20:30,Chaves,0.9,1.0,Vitória,7526,Estádio Municipal Eng. Manuel Branco Tei...,Manuel Oliveira,/pt/partidas/813246ed/Chaves-Vitoria-Guimaraes-2022Agosto7-Primeira-Liga,0.0,1.0,4-2-3-1,4-3-3,11.0,20.0,2.0,5.0,31.0,14.0,508.0,480.0,19.0,17.0,6.0,17.0,16.0,34.0,1.0,2.0,5.0,11.0,69.0,57.0,2.0,0.0,0.0,9.0,1.0,1.0,Paulo Vítor Fagundes dos Anjos,Nélson Monte,Bruno Langa,Kevin Pina,João Mendes,João Teixeira,Batxi,Steven Vitória,Héctor,Bernardo Sousa,João Pedro Araújo Correia,Žiga Frelih,Patrick,Sandro Cruz,Ricardo Guimarães,Jonathan Monroy,João Queirós,Hélder Morim,,Bruno Varela,Maga,Mikel Villanueva,Helder Sá,Rúben Lameiras,Tiago Silva,Jota Silva,André Amaro,André Silva,Ibrahima Bamba,Domingos André Ribeiro Almeida,Celton Anssumane Biai,Abdul Mumin,Nelson,Índio,Ryoya Ogawa,Alfa Semedo,Anderson,Antonio Cortés
1,seg,2022-08-08,20:15,Gil Vicente FC,1.4,0.9,Paços,4871,Estádio Cidade de Barcelos,André Narciso,/pt/partidas/c4c62ffe/Gil-Vicente-FC-Pacos-de-Ferreira-2022Agosto8-Primeira-Liga,1.0,0.0,4-2-3-1,4-2-3-1,17.0,19.0,8.0,6.0,21.0,18.0,529.0,572.0,9.0,12.0,7.0,10.0,22.0,17.0,5.0,3.0,7.0,7.0,65.0,70.0,1.0,0.0,0.0,6.0,0.0,0.0,Andrew,Lucas Cunha,Fran Navarro,Kanya Fujimoto,Kevin Villodres,Juan Manuel Boselli,Vitor Carvalho,Rúben Fernandes,Henrique Gomes,Matheus Bueno,Danilo Veiga,Brian Araújo,Giorgi Aburjania,Boubacar Hanne,Carraça,Mizuki Arai,Pedro Tiba,Ali Alipour,Tomás Araújo,Jordi Almeida,Nuno Lima,Pedro Ganchas,Vitorino Antunes,Nigel Thomas,Zé Uilton,Nicolás Gaitán,Arthur Sales,Juan Delgado,Luíz Carlos,Rui Pires,José Oliveira,Jordan Holsgrove,Abbas Ibrahim,Matchoi Djaló,Luís Alves,Lucas Silva,Fernando Ferreira Fonseca,
2,sex,2022-08-12,20:15,Famalicão,1.0,2.3,Braga,4637,Estádio Municipal 22 de Junho,Luís Godinho,/pt/partidas/116f625b/Famalicao-Braga-2022Agosto12-Primeira-Liga,0.0,3.0,4-3-3,4-4-2,11.0,14.0,7.0,7.0,23.0,27.0,648.0,657.0,19.0,20.0,12.0,19.0,29.0,20.0,1.0,1.0,12.0,8.0,101.0,108.0,3.0,0.0,0.0,1.0,0.0,0.0,Luiz Lúcio Reis Júnior,Rúben Lima,Alexandre Penetra,André Simões,Álex Millán,Gustavo Assuncao,Junior Kadile,Dylan Batubinsika,Hernán De La Fuente,Zaydou Youssouf,Heriberto Tavares,Ivan Zlobin,Owen Beck,Pedro Brazão,Rui Fonte,Gustavo sá,Pelé,Cláudio Silva,Théo Fonseca,Matheus,Vítor Tormena,Sikou Niakaté,Nuno Sequeira,Almoatasem Al Musrati,André Horta,Ricardo Horta,Simon Banza,Iuri Medeiros,Fabiano,Vitinha,Tiago Sá,Rodrigo Gomes,Abel Ruiz,Álvaro djaló,Paulo Oliveira,Diego Lainez,Lucas Mineiro,Dinis Pinto
