Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador18_home,jogador19_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_away,jogador19_away,jogador20_home,HS,AS,HST,AST,B365H,B365D,B365A,HTHG,HTAG
1.0,sex,2020-09-18,19:00,Famalicao,0.6,3.0,Benfica,0,Estádio Municipal 22 de Junho,Luís Godinho,/pt/partidas/0bb33fbd/Famalicao-Benfica-2020Setembro18-Primeira-Liga,1,5,4-4-2,4-4-2,15.0,10.0,3.0,4.0,7.0,20.0,460.0,677.0,23.0,16.0,19.0,12.0,22.0,8.0,1.0,2.0,9.0,3.0,67.0,62.0,1.0,0.0,0.0,2.0,0.0,0.0,Ivan Zlobin,Srđan Babić,Calvin Verdonk,Gonçalo Rodrigues,Rúben Lameiras,Gustavo Assuncao,Riccieli,Toni Martínez,Carlos Valenzuela,Jorge Pereira,Bruno Jordão,Luiz Lúcio Reis Júnior,Henrique Trevisan,Walterson,Lawrence Ofori,Ruben Del Campo,João Neto,Abdulwahab Ibrahim,Matheus dos Santos Clemente,Odisseas Vlachodimos,Álex Grimaldo,Jan Vertonghen,Rúben Dias,Everton Soares,Gabriel,Darwin Núñez,Luca Waldschmidt,Rafa Silva,André Almeida,Adel Taarabt,Helton Leite,Haris Seferović,Diogo Gonçalves,Pizzi,Julian Weigl,Pedrinho,Nuno Tavares,Carlos Vinícius,,6,13,2,7,7.5,5.0,1.36,0,3
1.0,sex,2020-09-18,21:15,Guimaraes,0.4,0.5,Belenenses,0,Estádio Dom Afonso Henriques,Manuel Oliveira,/pt/partidas/c727a3bb/Vitoria-Guimaraes-Belenenses-SAD-2020Setembro18-Primeira-Liga,0,1,4-3-3,3-4-3,14.0,21.0,7.0,2.0,26.0,22.0,689.0,482.0,10.0,18.0,11.0,13.0,20.0,29.0,3.0,0.0,5.0,9.0,80.0,67.0,1.0,0.0,0.0,4.0,0.0,0.0,Bruno Varela,Abdul Mumin,Marcus Edwards,André André,Rochinha,Falaye Sacko,José Luis García Vayá,Lyle Foster,Jonas Carls,Jorge Filipe Oliveira Fernandes,Nicolas Janvier,Matouš Trmal,Easah Suliman,Denis-Will Poha,Ricardo Quaresma,Kim Jungmin,Sílvio,Domingos André Ribeiro Almeida,Elias Abouchabaka,André Moreira,Tomás Ribeiro,Rúben Lima,Cauê Cecilio da Silva,Mateo Cassierra,Silvestre Varela,Miguel Filipe Nunes Cardoso,Tiago Esgaio,Afonso Taira,Thibang Phete,Henrique,Guilherme Mata Oliveira,Diogo Calila,Bruno Ramires,Edi Semedo,Danny Henriques,Samir Banjai,Robinho Vieira,Francisco Chico,,11,4,2,3,1.45,4.33,7.0,0,0
1.0,sáb,2020-09-19,16:00,Nacional,1.3,0.3,Boavista,0,Estádio da Madeira,António Nobre,/pt/partidas/30d49dac/Nacional-Boavista-2020Setembro19-Primeira-Liga,3,3,4-2-3-1,4-2-3-1,23.0,22.0,6.0,4.0,23.0,16.0,536.0,408.0,14.0,11.0,8.0,9.0,14.0,13.0,1.0,1.0,,,62.0,43.0,4.0,0.0,0.0,3.0,0.0,0.0,Daniel Guimarães,Lucas Kal,Pedrão,João Pedro Gomes Camacho,Vincent Koziello,Rúben Micael,Kalindi Alves de Souza,Witi,Nuno Borges,João Victor,Brayan Riascos,Riccardo Piscitelli,Larry Azouni,Abdullahi Ibrahim Alhassan,Gergely Bobál,Rúben Freitas,Bryan Róchez,Julio,Vincent Thill,Leonardo César Jardim,Reggie Cannon,Alejandro Gómez,Chidozie Awaziem,Javi García,Nuno Santos,Gustavo Sauer,Angel Gomes,Yusupha Njie,Ricardo Mangas,Paulinho,Rafael Bracalli,Jorge Bengoché,Miguel Reisinho,Nathan,Show,Yanis Hamache,Kalani Almeida,Cristian Castro,,14,8,7,3,2.55,3.1,2.87,2,2
1.0,sáb,2020-09-19,21:00,Porto,2.7,0.6,Sp Braga,0,Estádio Do Dragão,João Pinheiro,/pt/partidas/9af2118f/Porto-Braga-2020Setembro19-Primeira-Liga,3,1,4-3-3,3-4-3,18.0,18.0,5.0,1.0,15.0,14.0,579.0,535.0,9.0,15.0,7.0,10.0,11.0,17.0,4.0,3.0,10.0,10.0,92.0,82.0,1.0,0.0,0.0,4.0,1.0,0.0,Agustín Marchesín,Pepe,Mateus Uribe,Moussa Marega,Alex Telles,Jesús Corona,Wilson Manafá,Chancel Mbemba,Danilo Pereira,Otávio,Sérgio Oliveira,Diogo Costa,Diogo Leite,Mamadou Loum,Mehdi Taremi,Zaidu Sanusi,João Mário Lopes,Tiquinho Soares,Evanilson,Matheus,Nuno Sequeira,Almoatasem Al Musrati,Abel Ruiz,David Carmo,Ricardo Horta,Fransérgio,Raul Silva,Bruno Viana,Ricardo Esgaio,André Castro,Tiago Sá,Vítor Tormena,Rolando,João Novais,André Horta,Iuri Medeiros,Moura,Galeno,,11,7,4,1,1.61,4.0,5.0,2,1
1.0,dom,2020-09-20,15:00,Santa Clara,2.2,1.5,Maritimo,0,Cidade do Futebol,Manuel Mota,/pt/partidas/1c30b502/Santa-Clara-Maritimo-2020Setembro20-Primeira-Liga,2,0,4-2-3-1,3-4-3,16.0,17.0,5.0,6.0,14.0,36.0,523.0,512.0,8.0,12.0,9.0,18.0,43.0,18.0,1.0,3.0,9.0,11.0,79.0,83.0,2.0,0.0,0.0,1.0,0.0,0.0,Marco André Rocha Pereira,Rafael Ramos,Mikel Villanueva,João Afonso,Mansur,Osama Rashid,Carlos,Thiago Santana,Costinha,Anderson Carvalho,Diogo Salomão,André Ferreira,João Paulo Lázaro Lucas,Ukra,Rui Filipe Cunha Correia,Crysan,Jean Patric,Lucas Marques,,Amir Abedzadeh,Zainadine Júnior,Jorge Correa,Edgar Costa,Dejan Kerkez,Jean Cléber,Rene Santos,Eulânio Ângelo Chipela Gomes,Fábio China,Pedro Pelágio,Diederrick Joel,Charles,Cláudio Winck,Moises Castillo,Rafik Guitane,Rodrigo Pinho,Francois-Xavier Fumu Tamuzo,Diego Moreno,Milson,,12,12,5,2,2.1,3.2,3.6,0,0
1.0,dom,2020-09-20,18:30,Moreirense,2.2,0.6,Farense,0,P.D. Comendador Joaquim de Almeida Freit...,João Bento,/pt/partidas/79d3f51f/Moreirense-Farense-2020Setembro20-Primeira-Liga,2,0,4-3-3,4-4-2,17.0,12.0,4.0,6.0,12.0,33.0,536.0,511.0,15.0,17.0,13.0,12.0,30.0,13.0,1.0,3.0,13.0,8.0,93.0,83.0,2.0,0.0,0.0,4.0,1.0,0.0,Mateus Pasinato,Anthony D'Alberto,Lazar Rosić,Fábio Pacheco,Fábio Abreu,Lucas,Steven Vitória,Filipe Soares,Alexandre Miguel Barros Soares,Pedro Nuno,Pedro Amador,Miguel Oliveira,Ibrahima Camará,Felipe Pires,Matheus Silva,Reynaldo Cesar Moraes,,,,Rafael Defendi,Amine Oudrhiri,Nikola Stojiljković,Braian Mansilla,Burá,Fabrício Isidoro,Ryan Gauld,Cássio,Jonatan Lucca,Alexandre Pinto,Fábio Alexandre da Silva Nunes,Hugo Marques,Ricardo Velho,César,Filipe Melo,Miguel Bandarra,Patrick,Claudio Falcão,Álvarinho,,13,10,5,2,2.2,3.3,3.3,1,0
1.0,dom,2020-09-20,21:00,Tondela,0.6,1.0,Rio Ave,0,Estádio João Cardoso,Rui Costa,/pt/partidas/376bca59/Tondela-Rio-Ave-2020Setembro20-Primeira-Liga,1,1,4-3-3,4-2-3-1,15.0,11.0,1.0,6.0,14.0,20.0,487.0,773.0,14.0,16.0,11.0,11.0,28.0,18.0,0.0,2.0,6.0,5.0,75.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,Babacar Niasse,Bebeto,João Jaquité,Pedro Borges,Salvador Agra,João Pedro,Tomislav Štrkalj,Jaume Grau,Filipe Ferreira,Yohan Tavares,Ricardo Miguel Martins Alves,Pedro Trigueira,Jota Gonçalves,Rúben Fonseca,João Mendes,Tiago Melo Almeida,Rafael Barbosa,,,Paweł Kieszek,Nélson Monte,Toni Borevkovic,Gelson,Ricardo José Vaz Alves Monteiro,Diego Lopes,Lucas Piazon,Carlos Mané,Nikola Jambor,Pedro Amaral,Aderlan Santos,Léo,Filipe Augusto,Bruno Moreira,Francisco Geraldes,Costinha,Rúben Gonçalves,Nando Pijnaker,Ryotaro Meshino,,7,14,2,4,3.75,3.3,2.0,1,0
1.0,seg,2020-09-21,19:45,Portimonense,0.9,2.0,Pacos Ferreira,0,Estádio do Portimonense SC,Iancu Vasilica,/pt/partidas/438a80ef/Portimonense-Pacos-de-Ferreira-2020Setembro21-Primeira-Liga,1,1,4-3-3,4-4-2,23.0,16.0,4.0,9.0,11.0,21.0,536.0,454.0,26.0,20.0,8.0,8.0,27.0,10.0,1.0,1.0,9.0,7.0,104.0,87.0,1.0,0.0,0.0,1.0,0.0,0.0,Samuel Portugal,Maurício Antônio,Lucas Possignolo,Dener,Lucas Fernandes,Fabrício dos Santos Messias,Anderson,Pedro Sá,Willyan,Fali Candé,Welinton Júnior,Ricardo Abel Barbosa Ferreira,Beto,Júlio César,Henrique,Luquinha,Lucas Tagliapietra,Pedro Oliveira Casagrande,Aylton Boa Morte,Jordi Almeida,Marco Baixinho,Oleg Reabciuk,Hélder Ferreira,Zé Uilton,Luther Singh,Luíz Carlos,Marcelo dos Santos Ferreira,Stephen Eustáquio,João Amaral,Douglas Tanque,Michael,Martín,Abbas Ibrahim,Adriano Castanheira,Lucas Silva,Lamine Diaby,Maracás,Fernando Ferreira Fonseca,,12,16,3,5,2.15,3.2,3.5,0,1
2.0,sex,2020-09-25,20:30,Sp Braga,2.0,0.7,Santa Clara,0,Estádio Municipal de Braga,Rui Costa,/pt/partidas/4cbf5de6/Braga-Santa-Clara-2020Setembro25-Primeira-Liga,0,1,4-4-2,4-3-3,13.0,17.0,8.0,0.0,39.0,5.0,818.0,457.0,18.0,13.0,12.0,20.0,7.0,35.0,5.0,2.0,4.0,16.0,120.0,85.0,2.0,0.0,0.0,4.0,0.0,0.0,Matheus,Nuno Sequeira,Almoatasem Al Musrati,André Horta,David Carmo,Paulinho,Ricardo Horta,Fransérgio,Bruno Viana,Ricardo Esgaio,Moura,Tiago Sá,Vítor Tormena,Rolando,João Novais,Abel Ruiz,Iuri Medeiros,André Castro,Galeno,Marco André Rocha Pereira,Rafael Ramos,Mikel Villanueva,João Afonso,Mansur,Osama Rashid,Carlos,Thiago Santana,Jean Patric,Anderson Carvalho,Diogo Salomão,André Ferreira,Gustavo Viera,João Paulo Lázaro Lucas,Ukra,Julio Romão,Costinha,Rui Filipe Cunha Correia,Crysan,,22,6,4,1,1.4,4.5,8.0,0,1
2.0,sáb,2020-09-26,15:30,Maritimo,1.1,1.7,Tondela,0,Estádio dos Barreiros,André Narciso,/pt/partidas/27af54ba/Maritimo-Tondela-2020Setembro26-Primeira-Liga,2,1,4-4-2,4-4-2,20.0,16.0,0.0,8.0,8.0,28.0,340.0,659.0,20.0,18.0,21.0,8.0,39.0,7.0,3.0,1.0,7.0,4.0,62.0,60.0,4.0,1.0,0.0,2.0,0.0,0.0,Amir Abedzadeh,Cláudio Winck,Zainadine Júnior,Jean,Rodrigo Pinho,Getterson,Edgar Costa,Jean Cléber,Rene Santos,Eulânio Ângelo Chipela Gomes,Fábio China,Charles,Rafik Guitane,Jorge Correa,Diego Moreno,Dejan Kerkez,Milson,Pedro Pelágio,Marcelo Hermes,Babacar Niasse,Bebeto,Pedro Borges,Salvador Agra,João Pedro,Tomislav Štrkalj,Jaume Grau,Filipe Ferreira,Yohan Tavares,Ricardo Miguel Martins Alves,Rafael Barbosa,Pedro Trigueira,Jota Gonçalves,João Jaquité,Rúben Fonseca,Jhon Murillo,João Mendes,Tiago Melo Almeida,Naoufel Khacef,,8,21,6,6,2.2,3.0,3.6,2,1
