Unnamed: 0,Rodada,Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador18_home,jogador19_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_away,jogador19_away,jogador20_home,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
0,Regular season,1.0,sex,2020-09-18,19:00,Famalicao,0.6,3.0,Benfica,0,Estádio Municipal 22 de Junho,Luís Godinho,/pt/partidas/0bb33fbd/Famalicao-Benfica-2020Setembro18-Primeira-Liga,1,5,4-4-2,4-4-2,15.0,10.0,3.0,4.0,7.0,20.0,460.0,677.0,23.0,16.0,19.0,12.0,22.0,8.0,1.0,2.0,9.0,3.0,67.0,62.0,1.0,0.0,0.0,2.0,0.0,0.0,Ivan Zlobin,Srđan Babić,Calvin Verdonk,Gonçalo Rodrigues,Rúben Lameiras,Gustavo Assuncao,Riccieli,Toni Martínez,Carlos Valenzuela,Jorge Pereira,Bruno Jordão,Luiz Lúcio Reis Júnior,Henrique Trevisan,Walterson,Lawrence Ofori,Ruben Del Campo,João Neto,Abdulwahab Ibrahim,Matheus dos Santos Clemente,Odisseas Vlachodimos,Álex Grimaldo,Jan Vertonghen,Rúben Dias,Everton Soares,Gabriel,Darwin Núñez,Luca Waldschmidt,Rafa Silva,André Almeida,Adel Taarabt,Helton Leite,Haris Seferović,Diogo Gonçalves,Pizzi,Julian Weigl,Pedrinho,Nuno Tavares,Carlos Vinícius,,P1,18/09/2020,19:00,Famalicao,Benfica,1.0,5.0,A,0.0,3.0,A,6.0,13.0,2.0,7.0,14.0,10.0,3.0,4.0,1.0,2.0,0.0,0.0,7.5,5.0,1.36,7.5,5.0,1.4,7.0,4.7,1.43,8.3,4.92,1.41,8.0,4.75,1.38,7.5,4.5,1.4,8.3,5.0,1.44,7.55,4.72,1.39,1.7,2.1,1.71,2.22,1.76,2.25,1.69,2.16,1.25,2.0,1.9,2.0,1.9,2.01,1.96,1.95,1.88,8.0,5.0,1.33,7.5,5.0,1.4,7.5,4.9,1.4,9.34,5.18,1.36,9.5,4.8,1.33,8.5,4.8,1.33,9.64,5.43,1.4,8.34,4.95,1.35,1.61,2.25,1.64,2.35,1.7,2.35,1.64,2.25,1.5,1.84,2.06,1.86,2.06,1.87,2.08,1.81,2.03
1,Regular season,1.0,sex,2020-09-18,21:15,Guimaraes,0.4,0.5,Belenenses,0,Estádio Dom Afonso Henriques,Manuel Oliveira,/pt/partidas/c727a3bb/Vitoria-Guimaraes-Belenenses-SAD-2020Setembro18-Primeira-Liga,0,1,4-3-3,3-4-3,14.0,21.0,7.0,2.0,26.0,22.0,689.0,482.0,10.0,18.0,11.0,13.0,20.0,29.0,3.0,0.0,5.0,9.0,80.0,67.0,1.0,0.0,0.0,4.0,0.0,0.0,Bruno Varela,Abdul Mumin,Marcus Edwards,André André,Rochinha,Falaye Sacko,José Luis García Vayá,Lyle Foster,Jonas Carls,Jorge Filipe Oliveira Fernandes,Nicolas Janvier,Matouš Trmal,Easah Suliman,Denis-Will Poha,Ricardo Quaresma,Kim Jungmin,Sílvio,Domingos André Ribeiro Almeida,Elias Abouchabaka,André Moreira,Tomás Ribeiro,Rúben Lima,Cauê Cecilio da Silva,Mateo Cassierra,Silvestre Varela,Miguel Filipe Nunes Cardoso,Tiago Esgaio,Afonso Taira,Thibang Phete,Henrique,Guilherme Mata Oliveira,Diogo Calila,Bruno Ramires,Edi Semedo,Danny Henriques,Samir Banjai,Robinho Vieira,Francisco Chico,,P1,18/09/2020,21:15,Guimaraes,Belenenses,0.0,1.0,A,0.0,0.0,D,11.0,4.0,2.0,3.0,14.0,20.0,7.0,2.0,1.0,4.0,0.0,0.0,1.45,4.33,7.0,1.44,4.2,7.25,1.5,4.2,6.5,1.51,4.31,7.29,1.44,4.33,7.5,1.4,4.5,7.5,1.55,4.5,7.5,1.48,4.2,6.74,1.85,1.95,1.89,2.0,1.89,2.15,1.81,2.0,-1.0,1.85,2.05,1.87,2.04,1.88,2.15,1.82,2.01,1.45,4.33,7.0,1.44,4.2,7.25,1.53,4.2,6.5,1.52,4.37,7.02,1.47,4.2,7.0,1.5,4.0,6.5,1.54,4.47,7.53,1.49,4.15,6.68,1.95,1.85,1.99,1.9,2.03,2.09,1.91,1.88,-1.0,1.91,1.99,1.89,2.02,1.94,2.04,1.86,1.96
2,Regular season,1.0,sáb,2020-09-19,16:00,Nacional,1.3,0.3,Boavista,0,Estádio da Madeira,António Nobre,/pt/partidas/30d49dac/Nacional-Boavista-2020Setembro19-Primeira-Liga,3,3,4-2-3-1,4-2-3-1,23.0,22.0,6.0,4.0,23.0,16.0,536.0,408.0,14.0,11.0,8.0,9.0,14.0,13.0,1.0,1.0,,,62.0,43.0,4.0,0.0,0.0,3.0,0.0,0.0,Daniel Guimarães,Lucas Kal,Pedrão,João Pedro Gomes Camacho,Vincent Koziello,Rúben Micael,Kalindi Alves de Souza,Witi,Nuno Borges,João Victor,Brayan Riascos,Riccardo Piscitelli,Larry Azouni,Abdullahi Ibrahim Alhassan,Gergely Bobál,Rúben Freitas,Bryan Róchez,Julio,Vincent Thill,Leonardo César Jardim,Reggie Cannon,Alejandro Gómez,Chidozie Awaziem,Javi García,Nuno Santos,Gustavo Sauer,Angel Gomes,Yusupha Njie,Ricardo Mangas,Paulinho,Rafael Bracalli,Jorge Bengoché,Miguel Reisinho,Nathan,Show,Yanis Hamache,Kalani Almeida,Cristian Castro,,P1,19/09/2020,16:00,Nacional,Boavista,3.0,3.0,D,2.0,2.0,D,14.0,8.0,7.0,3.0,24.0,21.0,6.0,4.0,4.0,3.0,0.0,0.0,2.55,3.1,2.87,2.55,3.1,2.85,2.55,3.0,2.95,2.6,3.09,3.02,2.55,3.0,3.0,2.55,3.0,2.9,2.63,3.19,3.12,2.55,3.01,2.94,2.5,1.5,2.59,1.52,2.63,1.55,2.54,1.5,0.0,1.83,2.07,1.8,2.09,1.89,2.11,1.79,2.05,2.55,3.1,2.87,2.55,3.1,2.85,2.65,2.95,2.85,2.75,3.02,3.01,2.62,3.0,2.88,2.6,3.0,2.88,2.75,3.2,3.1,2.63,2.99,2.88,2.5,1.5,2.67,1.52,2.67,1.57,2.55,1.5,0.0,1.84,2.06,1.87,2.05,1.89,2.09,1.84,2.01
3,Regular season,1.0,sáb,2020-09-19,21:00,Porto,2.7,0.6,Sp Braga,0,Estádio Do Dragão,João Pinheiro,/pt/partidas/9af2118f/Porto-Braga-2020Setembro19-Primeira-Liga,3,1,4-3-3,3-4-3,18.0,18.0,5.0,1.0,15.0,14.0,579.0,535.0,9.0,15.0,7.0,10.0,11.0,17.0,4.0,3.0,10.0,10.0,92.0,82.0,1.0,0.0,0.0,4.0,1.0,0.0,Agustín Marchesín,Pepe,Mateus Uribe,Moussa Marega,Alex Telles,Jesús Corona,Wilson Manafá,Chancel Mbemba,Danilo Pereira,Otávio,Sérgio Oliveira,Diogo Costa,Diogo Leite,Mamadou Loum,Mehdi Taremi,Zaidu Sanusi,João Mário Lopes,Tiquinho Soares,Evanilson,Matheus,Nuno Sequeira,Almoatasem Al Musrati,Abel Ruiz,David Carmo,Ricardo Horta,Fransérgio,Raul Silva,Bruno Viana,Ricardo Esgaio,André Castro,Tiago Sá,Vítor Tormena,Rolando,João Novais,André Horta,Iuri Medeiros,Moura,Galeno,,P1,19/09/2020,21:00,Porto,Sp Braga,3.0,1.0,H,2.0,1.0,H,11.0,7.0,4.0,1.0,17.0,18.0,5.0,1.0,0.0,0.0,0.0,0.0,1.61,4.0,5.0,1.62,4.0,5.5,1.63,3.9,5.5,1.62,3.95,5.82,1.6,3.9,5.5,1.62,4.0,5.0,1.66,4.13,5.92,1.62,3.92,5.24,1.72,2.07,1.79,2.07,1.81,2.17,1.76,2.06,-0.75,1.83,2.07,1.8,2.08,1.86,2.12,1.79,2.04,1.61,4.0,5.0,1.62,4.0,5.5,1.7,3.85,4.9,1.69,4.02,5.2,1.63,4.0,5.0,1.65,3.9,4.8,1.72,4.16,5.53,1.66,3.89,4.98,1.72,2.07,1.78,2.11,1.81,2.2,1.74,2.08,-0.75,1.89,2.01,1.9,2.01,1.9,2.04,1.86,1.98
4,Regular season,1.0,dom,2020-09-20,15:00,Santa Clara,2.2,1.5,Maritimo,0,Cidade do Futebol,Manuel Mota,/pt/partidas/1c30b502/Santa-Clara-Maritimo-2020Setembro20-Primeira-Liga,2,0,4-2-3-1,3-4-3,16.0,17.0,5.0,6.0,14.0,36.0,523.0,512.0,8.0,12.0,9.0,18.0,43.0,18.0,1.0,3.0,9.0,11.0,79.0,83.0,2.0,0.0,0.0,1.0,0.0,0.0,Marco André Rocha Pereira,Rafael Ramos,Mikel Villanueva,João Afonso,Mansur,Osama Rashid,Carlos,Thiago Santana,Costinha,Anderson Carvalho,Diogo Salomão,André Ferreira,João Paulo Lázaro Lucas,Ukra,Rui Filipe Cunha Correia,Crysan,Jean Patric,Lucas Marques,,Amir Abedzadeh,Zainadine Júnior,Jorge Correa,Edgar Costa,Dejan Kerkez,Jean Cléber,Rene Santos,Eulânio Ângelo Chipela Gomes,Fábio China,Pedro Pelágio,Diederrick Joel,Charles,Cláudio Winck,Moises Castillo,Rafik Guitane,Rodrigo Pinho,Francois-Xavier Fumu Tamuzo,Diego Moreno,Milson,,P1,20/09/2020,16:00,Santa Clara,Maritimo,2.0,0.0,H,0.0,0.0,D,12.0,12.0,5.0,2.0,15.0,17.0,5.0,6.0,2.0,1.0,0.0,0.0,2.1,3.2,3.6,2.2,3.1,3.4,2.25,2.95,3.55,2.29,3.01,3.71,2.15,3.2,3.5,2.15,3.2,3.4,2.31,3.32,3.91,2.21,3.06,3.5,2.25,1.61,2.32,1.64,2.35,1.67,2.26,1.62,-0.25,1.92,1.98,1.93,1.95,1.95,2.04,1.88,1.94,2.37,3.0,3.2,2.2,3.1,3.4,2.4,2.9,3.3,2.49,2.97,3.45,2.35,3.0,3.3,2.3,3.0,3.3,2.49,3.16,3.6,2.38,2.94,3.31,2.7,1.44,2.88,1.46,2.88,1.53,2.69,1.46,-0.25,2.08,1.82,2.08,1.84,2.11,1.96,2.02,1.82
5,Regular season,1.0,dom,2020-09-20,18:30,Moreirense,2.2,0.6,Farense,0,P.D. Comendador Joaquim de Almeida Freit...,João Bento,/pt/partidas/79d3f51f/Moreirense-Farense-2020Setembro20-Primeira-Liga,2,0,4-3-3,4-4-2,17.0,12.0,4.0,6.0,12.0,33.0,536.0,511.0,15.0,17.0,13.0,12.0,30.0,13.0,1.0,3.0,13.0,8.0,93.0,83.0,2.0,0.0,0.0,4.0,1.0,0.0,Mateus Pasinato,Anthony D'Alberto,Lazar Rosić,Fábio Pacheco,Fábio Abreu,Lucas,Steven Vitória,Filipe Soares,Alexandre Miguel Barros Soares,Pedro Nuno,Pedro Amador,Miguel Oliveira,Ibrahima Camará,Felipe Pires,Matheus Silva,Reynaldo Cesar Moraes,,,,Rafael Defendi,Amine Oudrhiri,Nikola Stojiljković,Braian Mansilla,Burá,Fabrício Isidoro,Ryan Gauld,Cássio,Jonatan Lucca,Alexandre Pinto,Fábio Alexandre da Silva Nunes,Hugo Marques,Ricardo Velho,César,Filipe Melo,Miguel Bandarra,Patrick,Claudio Falcão,Álvarinho,,P1,20/09/2020,18:30,Moreirense,Farense,2.0,0.0,H,1.0,0.0,H,13.0,10.0,5.0,2.0,17.0,13.0,4.0,6.0,2.0,4.0,0.0,1.0,2.2,3.3,3.3,2.15,3.2,3.4,2.25,3.1,3.4,2.31,3.14,3.48,2.25,3.1,3.4,2.25,3.1,3.3,2.31,3.3,3.63,2.23,3.12,3.36,2.35,1.57,2.45,1.58,2.46,1.63,2.36,1.57,-0.25,1.97,1.93,1.96,1.93,2.01,1.95,1.92,1.9,2.1,3.0,3.75,2.15,3.2,3.4,2.2,3.05,3.55,2.22,3.21,3.76,2.2,3.1,3.6,2.15,3.13,3.5,2.28,3.26,4.21,2.18,3.1,3.56,2.35,1.57,2.43,1.61,2.51,1.65,2.37,1.57,-0.25,1.9,2.0,1.88,2.03,1.93,2.11,1.86,1.98
6,Regular season,1.0,dom,2020-09-20,21:00,Tondela,0.6,1.0,Rio Ave,0,Estádio João Cardoso,Rui Costa,/pt/partidas/376bca59/Tondela-Rio-Ave-2020Setembro20-Primeira-Liga,1,1,4-3-3,4-2-3-1,15.0,11.0,1.0,6.0,14.0,20.0,487.0,773.0,14.0,16.0,11.0,11.0,28.0,18.0,0.0,2.0,6.0,5.0,75.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,Babacar Niasse,Bebeto,João Jaquité,Pedro Borges,Salvador Agra,João Pedro,Tomislav Štrkalj,Jaume Grau,Filipe Ferreira,Yohan Tavares,Ricardo Miguel Martins Alves,Pedro Trigueira,Jota Gonçalves,Rúben Fonseca,João Mendes,Tiago Melo Almeida,Rafael Barbosa,,,Paweł Kieszek,Nélson Monte,Toni Borevkovic,Gelson,Ricardo José Vaz Alves Monteiro,Diego Lopes,Lucas Piazon,Carlos Mané,Nikola Jambor,Pedro Amaral,Aderlan Santos,Léo,Filipe Augusto,Bruno Moreira,Francisco Geraldes,Costinha,Rúben Gonçalves,Nando Pijnaker,Ryotaro Meshino,,P1,20/09/2020,21:00,Tondela,Rio Ave,1.0,1.0,D,1.0,0.0,H,7.0,14.0,2.0,4.0,15.0,11.0,1.0,6.0,1.0,0.0,0.0,0.0,3.75,3.3,2.0,3.5,3.2,2.1,3.8,3.15,2.1,3.94,3.25,2.09,3.8,3.2,2.05,3.7,3.2,2.05,4.0,3.34,2.16,3.75,3.19,2.06,2.25,1.61,2.37,1.61,2.41,1.64,2.32,1.59,0.25,2.05,1.75,2.11,1.78,2.13,1.82,2.07,1.76,3.75,3.3,2.0,3.9,3.2,2.0,4.2,3.25,1.95,4.37,3.42,1.97,4.2,3.3,1.95,3.9,3.2,2.0,4.58,3.42,2.06,4.11,3.28,1.95,2.4,1.53,2.4,1.62,2.45,1.64,2.36,1.58,0.5,1.9,2.0,1.93,1.97,2.0,2.07,1.88,1.96
7,Regular season,1.0,seg,2020-09-21,19:45,Portimonense,0.9,2.0,Pacos Ferreira,0,Estádio do Portimonense SC,Iancu Vasilica,/pt/partidas/438a80ef/Portimonense-Pacos-de-Ferreira-2020Setembro21-Primeira-Liga,1,1,4-3-3,4-4-2,23.0,16.0,4.0,9.0,11.0,21.0,536.0,454.0,26.0,20.0,8.0,8.0,27.0,10.0,1.0,1.0,9.0,7.0,104.0,87.0,1.0,0.0,0.0,1.0,0.0,0.0,Samuel Portugal,Maurício Antônio,Lucas Possignolo,Dener,Lucas Fernandes,Fabrício dos Santos Messias,Anderson,Pedro Sá,Willyan,Fali Candé,Welinton Júnior,Ricardo Abel Barbosa Ferreira,Beto,Júlio César,Henrique,Luquinha,Lucas Tagliapietra,Pedro Oliveira Casagrande,Aylton Boa Morte,Jordi Almeida,Marco Baixinho,Oleg Reabciuk,Hélder Ferreira,Zé Uilton,Luther Singh,Luíz Carlos,Marcelo dos Santos Ferreira,Stephen Eustáquio,João Amaral,Douglas Tanque,Michael,Martín,Abbas Ibrahim,Adriano Castanheira,Lucas Silva,Lamine Diaby,Maracás,Fernando Ferreira Fonseca,,P1,21/09/2020,19:45,Portimonense,Pacos Ferreira,1.0,1.0,D,0.0,1.0,A,12.0,16.0,3.0,5.0,23.0,16.0,4.0,9.0,1.0,1.0,0.0,0.0,2.15,3.2,3.5,2.2,3.2,3.3,2.25,3.1,3.35,2.25,3.24,3.5,2.2,3.2,3.4,2.2,3.13,3.4,2.29,3.31,3.6,2.21,3.16,3.35,2.25,1.61,2.32,1.63,2.39,1.66,2.28,1.6,-0.25,1.94,1.96,1.92,1.96,1.98,1.98,1.89,1.92,2.3,3.2,3.2,2.35,3.1,3.1,2.4,3.05,3.15,2.42,3.1,3.42,2.35,3.1,3.2,2.4,3.0,3.13,2.47,3.29,3.45,2.38,3.08,3.16,2.5,1.5,2.55,1.56,2.58,1.58,2.45,1.54,-0.25,2.05,1.85,2.04,1.87,2.09,1.88,2.04,1.81
8,Regular season,2.0,sex,2020-09-25,20:30,Sp Braga,2.0,0.7,Santa Clara,0,Estádio Municipal de Braga,Rui Costa,/pt/partidas/4cbf5de6/Braga-Santa-Clara-2020Setembro25-Primeira-Liga,0,1,4-4-2,4-3-3,13.0,17.0,8.0,0.0,39.0,5.0,818.0,457.0,18.0,13.0,12.0,20.0,7.0,35.0,5.0,2.0,4.0,16.0,120.0,85.0,2.0,0.0,0.0,4.0,0.0,0.0,Matheus,Nuno Sequeira,Almoatasem Al Musrati,André Horta,David Carmo,Paulinho,Ricardo Horta,Fransérgio,Bruno Viana,Ricardo Esgaio,Moura,Tiago Sá,Vítor Tormena,Rolando,João Novais,Abel Ruiz,Iuri Medeiros,André Castro,Galeno,Marco André Rocha Pereira,Rafael Ramos,Mikel Villanueva,João Afonso,Mansur,Osama Rashid,Carlos,Thiago Santana,Jean Patric,Anderson Carvalho,Diogo Salomão,André Ferreira,Gustavo Viera,João Paulo Lázaro Lucas,Ukra,Julio Romão,Costinha,Rui Filipe Cunha Correia,Crysan,,P1,25/09/2020,20:30,Sp Braga,Santa Clara,0.0,1.0,A,0.0,1.0,A,22.0,6.0,4.0,1.0,13.0,17.0,8.0,0.0,2.0,4.0,0.0,0.0,1.4,4.5,8.0,1.4,4.5,7.5,1.5,4.3,6.75,1.46,4.38,8.45,1.42,4.2,8.5,1.44,4.2,7.0,1.5,4.6,8.5,1.44,4.26,7.41,1.83,2.02,1.84,2.06,1.91,2.08,1.81,2.0,-1.0,1.7,2.1,1.78,2.15,1.85,2.16,1.75,2.09,1.44,4.33,7.0,1.4,4.6,7.25,1.47,4.5,6.5,1.45,4.52,8.22,1.42,4.33,8.0,1.45,4.33,6.5,1.48,4.6,8.22,1.43,4.37,7.27,1.7,2.1,1.73,2.19,1.81,2.19,1.72,2.1,-1.25,2.08,1.82,2.07,1.85,2.11,1.94,2.02,1.82
9,Regular season,2.0,sáb,2020-09-26,15:30,Maritimo,1.1,1.7,Tondela,0,Estádio dos Barreiros,André Narciso,/pt/partidas/27af54ba/Maritimo-Tondela-2020Setembro26-Primeira-Liga,2,1,4-4-2,4-4-2,20.0,16.0,0.0,8.0,8.0,28.0,340.0,659.0,20.0,18.0,21.0,8.0,39.0,7.0,3.0,1.0,7.0,4.0,62.0,60.0,4.0,1.0,0.0,2.0,0.0,0.0,Amir Abedzadeh,Cláudio Winck,Zainadine Júnior,Jean,Rodrigo Pinho,Getterson,Edgar Costa,Jean Cléber,Rene Santos,Eulânio Ângelo Chipela Gomes,Fábio China,Charles,Rafik Guitane,Jorge Correa,Diego Moreno,Dejan Kerkez,Milson,Pedro Pelágio,Marcelo Hermes,Babacar Niasse,Bebeto,Pedro Borges,Salvador Agra,João Pedro,Tomislav Štrkalj,Jaume Grau,Filipe Ferreira,Yohan Tavares,Ricardo Miguel Martins Alves,Rafael Barbosa,Pedro Trigueira,Jota Gonçalves,João Jaquité,Rúben Fonseca,Jhon Murillo,João Mendes,Tiago Melo Almeida,Naoufel Khacef,,P1,26/09/2020,15:30,Maritimo,Tondela,2.0,1.0,H,2.0,1.0,H,8.0,21.0,6.0,6.0,19.0,16.0,0.0,8.0,4.0,2.0,1.0,0.0,2.2,3.0,3.6,2.2,3.2,3.3,2.25,3.05,3.4,2.31,3.21,3.54,2.25,3.1,3.4,2.25,3.1,3.3,2.31,3.28,3.64,2.24,3.11,3.35,2.35,1.57,2.47,1.58,2.48,1.62,2.38,1.56,-0.25,1.96,1.94,1.95,1.93,1.97,1.97,1.92,1.9,2.0,3.0,4.0,2.05,3.25,3.6,2.1,3.15,3.85,2.12,3.3,3.94,2.05,3.2,3.8,2.05,3.2,3.75,2.14,3.36,4.2,2.07,3.19,3.76,2.35,1.57,2.47,1.59,2.57,1.6,2.4,1.56,-0.25,1.8,2.1,1.81,2.12,1.85,2.16,1.78,2.07
