Unnamed: 0.1,Unnamed: 0,Rodada,Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador18_home,jogador19_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_away,jogador19_away,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
0,0,Regular season,1.0,sex,2021-08-06,20:15,Sp Lisbon,2.4,0.3,Vizela,9066,Estádio José Alvalade,António Nobre,/pt/partidas/d678e271/Sporting-CP-Vizela-2021Agosto6-Primeira-Liga,3,0,3-4-3,4-1-4-1,9.0,16.0,3.0,5.0,26.0,12.0,781.0,460.0,14.0,31.0,12.0,10.0,10.0,19.0,2.0,5.0,5.0,12.0,82.0,45.0,1.0,0.0,0.0,3.0,0.0,0.0,Antonio Adán,Zouhair Feddal,Sebastián Coates,João Palhinha,Matheus Nunes,Jovane Cabral,Rúben Vinagre,Paulinho,Gonçalo Inácio,Pedro Gonçalves,Ricardo Esgaio,Luís Maximiano,Matheus Reis,Bruno Tabata,Nuno Santos,Luís Neto,Tiago Tomás,Gonzalo Plata,Daniel Bragança,Charles,Raphael Guzzo,Cassiano,Kiko Bondoso,Marcos Paulo,Alexis Méndez,Samu,Christian Neiva Afonso,Richard Ofori,Koffi Kouao,Francis Cann,Ivo Gonçalves,Hugo Oliveira,Marcelo,João Pais,Kévin Zohi,Emmanuel Adeyemo,Nuno Gonçalo Moreira,Tomás Costa Silva,P1,06/08/2021,20:15,Sp Lisbon,Vizela,3.0,0.0,H,0.0,0.0,D,15.0,6.0,5.0,1.0,9.0,16.0,3.0,5.0,1.0,3.0,0.0,0.0,1.28,5.5,11.0,1.25,5.5,11.0,1.33,5.25,9.5,1.27,6.14,12.01,1.28,4.8,12.0,1.29,5.0,10.5,1.33,6.2,13.0,1.27,5.51,10.97,1.72,2.07,1.79,2.11,1.81,2.16,1.75,2.08,-1.5,1.96,1.94,1.95,1.95,1.98,1.98,1.92,1.93,1.22,5.75,12.0,1.25,5.75,13.0,1.27,5.75,11.0,1.24,6.54,13.01,1.24,5.5,12.0,1.22,6.0,12.0,1.31,6.68,14.6,1.24,5.99,11.79,1.6,2.3,1.61,2.39,1.68,2.42,1.61,2.3,-1.75,2.03,1.87,2.01,1.88,2.06,1.99,1.98,1.86
1,1,Regular season,1.0,sáb,2021-08-07,12:45,Arouca,1.0,1.8,Estoril,513,Estádio Municipal de Arouca,Hugo Coelho,/pt/partidas/066f28ef/Arouca-Estoril-2021Agosto7-Primeira-Liga,0,2,4-2-3-1,4-3-3,14.0,13.0,3.0,2.0,25.0,13.0,665.0,564.0,12.0,14.0,17.0,11.0,11.0,21.0,4.0,2.0,8.0,9.0,81.0,81.0,1.0,0.0,0.0,3.0,0.0,0.0,Victor Braga,José Manuel Velázquez,André Silva,Arsénio Martins Lafuente Nunes,André Bukia,Pedro Manuel da Silva Moreira,Leandro Miguel Pereira Silva,Eugeni Valderrama,Joel Ferreira,Baptiste Aloé,Thales Oleques,Fernando Castro,Luiz Gustavo,Brunão,Quaresma,Mauro Andrés Caballero,Adílio Santos,Pité,Or Dasa,Daniel Leite,Carles Soria,Bernardo Vital,Lucas Áfrico,Chiquinho,André Clóvis,André Franco,Bruno Lourenço,João Gamboa,Joãozinho,Loreintz Rosier,Mosquito,Francisco Geraldes,Luciano Vega,Racine Coly,Leonardo Ruíz,David Bruno,Ryotaro Meshino,Elias Achouri,P1,07/08/2021,12:45,Arouca,Estoril,0.0,2.0,A,0.0,1.0,A,11.0,12.0,3.0,6.0,14.0,13.0,3.0,2.0,1.0,3.0,0.0,0.0,2.25,3.1,3.4,2.25,3.1,3.3,2.25,3.25,3.3,2.27,3.36,3.44,2.25,3.1,3.25,2.2,3.2,3.3,2.39,3.41,3.49,2.25,3.2,3.28,2.3,1.6,2.36,1.64,2.38,1.66,2.3,1.61,-0.25,1.95,1.95,1.94,1.96,1.99,1.98,1.93,1.91,2.25,3.1,3.5,2.25,3.1,3.3,2.3,2.95,3.55,2.34,3.05,3.67,2.2,3.0,3.5,2.25,3.0,3.4,2.42,3.17,3.84,2.29,3.0,3.43,2.7,1.44,2.78,1.48,2.78,1.53,2.62,1.48,-0.25,1.98,1.92,1.97,1.93,2.02,2.04,1.94,1.89
2,2,Regular season,1.0,sáb,2021-08-07,18:00,Moreirense,1.7,1.4,Benfica,1498,P.D. Comendador Joaquim de Almeida Freit...,Vitor Ferreira Fernandes,/pt/partidas/8286ef6e/Moreirense-Benfica-2021Agosto7-Primeira-Liga,1,2,4-4-2,3-4-3,20.0,18.0,0.0,6.0,12.0,8.0,489.0,686.0,22.0,14.0,10.0,19.0,14.0,16.0,1.0,0.0,4.0,5.0,87.0,74.0,4.0,0.0,0.0,4.0,1.0,0.0,Mateus Pasinato,Lazar Rosić,Artur Jorge Marques Amorim,Abdu Conté,Fábio Pacheco,Walterson,Felipe Pires,Yan Santos,Filipe Soares,Abdoulaye Ba,Rafael Martins,Kewin,Ibrahima Camará,André Luis,Sori Mané,Steven Vitória,Godfried Frimpong,Jefferson Galego,Rúben Ramos,Odisseas Vlachodimos,Lucas Veríssimo,Jan Vertonghen,Everton Soares,Luca Waldschmidt,Soualiho Meïté,Diogo Gonçalves,Nicolás Otamendi,Gil Bastião Dias,Adel Taarabt,Gonçalo Ramos,Mile Svilar,Gilberto,Álex Grimaldo,Roman Yaremchuk,Pizzi,Rafa Silva,Julian Weigl,Gedson Fernandes,P1,07/08/2021,18:00,Moreirense,Benfica,1.0,2.0,A,1.0,2.0,A,8.0,9.0,3.0,6.0,20.0,18.0,0.0,6.0,4.0,4.0,0.0,1.0,8.0,4.5,1.4,7.75,4.4,1.4,6.75,4.7,1.43,6.9,4.8,1.47,7.0,4.33,1.44,7.0,4.75,1.4,8.0,4.9,1.49,6.87,4.56,1.43,1.65,2.2,1.68,2.27,1.71,2.32,1.65,2.23,1.25,1.91,1.99,1.93,1.97,1.94,2.02,1.88,1.95,9.0,4.5,1.36,8.5,5.0,1.36,7.0,4.5,1.45,8.48,4.76,1.42,8.5,4.4,1.38,7.5,4.5,1.4,10.2,5.2,1.48,7.63,4.63,1.41,1.7,2.1,1.76,2.14,1.77,2.28,1.71,2.13,1.25,1.93,1.97,1.93,1.97,2.01,2.0,1.9,1.94
3,3,Regular season,1.0,sáb,2021-08-07,20:30,Maritimo,0.2,1.1,Sp Braga,1782,Estádio dos Barreiros,André Narciso,/pt/partidas/78abf395/Maritimo-Braga-2021Agosto7-Primeira-Liga,0,2,4-4-2,4-4-2,23.0,12.0,3.0,6.0,13.0,18.0,504.0,604.0,18.0,11.0,15.0,15.0,18.0,7.0,1.0,0.0,10.0,5.0,79.0,97.0,3.0,0.0,0.0,3.0,0.0,0.0,João Miguel Macedo Silva,Cláudio Winck,Zainadine Júnior,André Vidigal,Edgar Costa,Iván Rossi,Diogo Mendes,Jorge Sáenz,Fábio China,Vitor Costa,Diederrick Joel,Pedro Teixeira,Matheus Costa,Ali Alipour,Milson,Xadas,Rúben Macedo,Léo Andrade,Rodrigo Andrad,Matheus,Nuno Sequeira,Almoatasem Al Musrati,Lucas Piazon,Paulo Oliveira,Mario González,Ricardo Horta,Fábio Martins,Fransérgio,Raul Silva,Fabiano,Tiago Sá,João Novais,Abel Ruiz,André Horta,Tiago Esgaio,Lucas Mineiro,Roger Fernandes,Bruno Rodrigues,P1,07/08/2021,20:30,Maritimo,Sp Braga,0.0,2.0,A,0.0,0.0,D,7.0,12.0,0.0,5.0,23.0,12.0,3.0,6.0,3.0,3.0,0.0,0.0,5.0,3.4,1.75,4.5,3.4,1.8,4.3,3.6,1.83,4.53,3.72,1.83,4.33,3.5,1.8,4.2,3.6,1.8,5.0,3.78,1.9,4.3,3.57,1.82,1.93,1.93,1.89,1.99,1.97,1.99,1.89,1.92,0.5,2.06,1.84,2.08,1.84,2.08,1.86,2.03,1.82,5.0,3.5,1.75,4.5,3.6,1.75,4.9,3.4,1.8,5.05,3.52,1.83,4.8,3.5,1.72,4.8,3.4,1.75,5.13,3.6,1.9,4.78,3.41,1.79,2.3,1.6,2.38,1.63,2.4,1.72,2.26,1.63,0.5,2.02,1.77,2.1,1.83,2.11,1.87,2.04,1.8
4,4,Regular season,1.0,dom,2021-08-08,15:30,Tondela,1.7,1.5,Santa Clara,764,Estádio João Cardoso,João Ferreira,/pt/partidas/5e7ab169/Tondela-Santa-Clara-2021Agosto8-Primeira-Liga,3,0,4-2-3-1,4-2-3-1,19.0,10.0,3.0,5.0,9.0,18.0,434.0,612.0,16.0,15.0,11.0,12.0,9.0,10.0,1.0,2.0,19.0,5.0,85.0,63.0,1.0,0.0,0.0,3.0,0.0,0.0,Pedro Trigueira,Jota Gonçalves,Salvador Agra,João Pedro,Jhon Murillo,Bebeto,Naoufel Khacef,Tiago Dantas,Daniel,Rafael Barbosa,Eduardo Quaresma,Babacar Niasse,Pedro Borges,Rúben Fonseca,Renat Dadaşov,Tiago Melo Almeida,Iker Undabarrena,Ricardo Miguel Martins Alves,Souleymane Anne,Marco André Rocha Pereira,Rafael Ramos,Mikel Villanueva,João Afonso,Mansur,Lincoln,Carlos,Rui Filipe Cunha Correia,Hidemasa Morita,Jean Patric,Rui Costa,Ricardo Fernandes,Kennedy Boateng,Mohamed Bouldini,Costinha,Paulo Henrique Rodrigues Cabral,Julio Romão,,,P1,08/08/2021,15:30,Tondela,Santa Clara,3.0,0.0,H,1.0,0.0,H,10.0,23.0,5.0,5.0,18.0,12.0,3.0,5.0,1.0,3.0,0.0,0.0,3.0,3.1,2.45,3.1,3.2,2.3,3.05,3.15,2.45,3.19,3.21,2.45,3.1,3.0,2.4,3.0,3.13,2.4,3.23,3.29,2.48,3.05,3.14,2.4,2.15,1.66,2.2,1.71,2.22,1.75,2.15,1.7,0.25,1.81,2.09,1.82,2.08,1.82,2.11,1.79,2.06,3.3,3.1,2.3,2.9,3.2,2.45,3.15,3.1,2.4,3.29,3.19,2.44,3.1,3.0,2.4,3.1,3.1,2.38,3.39,3.2,2.55,3.11,3.09,2.4,2.25,1.61,2.3,1.67,2.37,1.75,2.24,1.65,0.25,1.84,2.06,1.85,2.07,1.86,2.11,1.8,2.04
5,5,Regular season,1.0,dom,2021-08-08,15:30,Guimaraes,2.0,0.9,Portimonense,8224,Estádio Dom Afonso Henriques,Fábio Oliveira Melo,/pt/partidas/8d4a7b85/Vitoria-Guimaraes-Portimonense-2021Agosto8-Primeira-Liga,0,1,4-3-3,4-3-3,15.0,12.0,10.0,5.0,34.0,12.0,608.0,543.0,16.0,9.0,4.0,12.0,9.0,34.0,2.0,6.0,5.0,11.0,62.0,91.0,2.0,0.0,0.0,3.0,0.0,0.0,Matouš Trmal,Toni Borevkovic,Rafa Soares,Ricardo Quaresma,Bruno Duarte,Marcus Edwards,André André,Falaye Sacko,Alfa Semedo,Jorge Filipe Oliveira Fernandes,Domingos André Ribeiro Almeida,Celton Anssumane Biai,Rúben Lameiras,André Amaro,Gui Guedes,Maga,Tomás Händel,Herculano Nabian,Helder Sá,Samuel Portugal,Lucas Possignolo,Willyan,Lucas Fernandes,Fabrício dos Santos Messias,Beto,Fahd Moufi,Luquinha,Pedro Sá,Filipe Relvas,Aylton Boa Morte,Ricardo Abel Barbosa Ferreira,Jeferson Santos,Henrique Jocú,Anderson,Jafar Salmani,Giannelli Imbula,Sana Gomes,Carlinhos,P1,08/08/2021,15:30,Guimaraes,Portimonense,0.0,1.0,A,0.0,0.0,D,18.0,7.0,3.0,1.0,15.0,12.0,10.0,5.0,2.0,3.0,0.0,0.0,2.0,3.2,4.0,2.0,3.3,3.7,2.05,3.2,3.9,2.07,3.26,4.08,2.05,3.1,3.8,2.05,3.25,3.6,2.13,3.38,4.1,2.05,3.21,3.82,2.2,1.65,2.23,1.69,2.31,1.73,2.21,1.66,-0.25,1.75,2.05,1.76,2.15,1.84,2.16,1.77,2.09,1.95,3.25,4.5,1.95,3.2,4.1,1.95,3.2,4.2,1.98,3.29,4.55,1.91,3.2,4.2,1.93,3.25,4.1,2.02,3.4,4.61,1.95,3.21,4.22,2.25,1.61,2.36,1.64,2.4,1.7,2.28,1.63,-0.5,1.99,1.91,1.98,1.93,2.02,1.93,1.96,1.88
6,6,Regular season,1.0,dom,2021-08-08,18:00,Porto,2.1,0.9,Belenenses,15429,Estádio Do Dragão,Gustavo Correia,/pt/partidas/ed25ca34/Porto-Belenenses-SAD-2021Agosto8-Primeira-Liga,2,0,4-4-2,3-5-2,11.0,15.0,8.0,3.0,16.0,7.0,846.0,401.0,16.0,17.0,5.0,15.0,8.0,22.0,0.0,2.0,3.0,14.0,93.0,75.0,2.0,0.0,0.0,3.0,0.0,0.0,Diogo Costa,Pepe,Luis Díaz,Mehdi Taremi,Zaidu Sanusi,Chancel Mbemba,João Mário Lopes,Otávio,Sérgio Oliveira,Bruno Xavier Almeida Costa,Toni Martínez,Agustín Marchesín,Iván Marcano,Mateus Uribe,Francisco Conceição,Pepê,Wilson Manafá,Vitinha,Evanilson,Luiz Felipe,Diogo Calila,Tomás Ribeiro,Nilton Varela,Sphephelo Sithole,Mateo Cassierra,Andrija Luković,Alioune Ndour,Thibang Phete,Chima Akas,Trova Boni,João Monteiro,Afonso Taira,Pedro Nuno,Afonso Sousa,Jójó,Danny Henriques,Luís Mota,César Sousa,P1,08/08/2021,18:00,Porto,Belenenses,2.0,0.0,H,1.0,0.0,H,21.0,7.0,7.0,3.0,11.0,15.0,8.0,3.0,2.0,3.0,0.0,0.0,1.22,6.0,11.0,1.22,6.25,11.5,1.25,6.25,12.0,1.22,6.77,12.92,1.22,5.8,12.0,1.22,6.0,12.0,1.25,7.1,14.0,1.22,6.26,11.93,1.57,2.35,1.57,2.46,1.61,2.5,1.56,2.41,-1.75,1.95,1.95,1.91,1.96,2.02,1.96,1.92,1.91,1.2,6.0,13.0,1.18,7.25,16.5,1.17,7.25,16.0,1.16,8.72,18.42,1.15,7.0,17.0,1.14,7.5,17.0,1.22,8.72,19.41,1.16,7.49,15.68,1.5,2.5,1.49,2.68,1.57,2.72,1.5,2.55,-2.0,1.85,2.05,1.84,2.05,1.94,2.13,1.85,1.99
7,7,Regular season,1.0,dom,2021-08-08,20:30,Pacos Ferreira,3.2,1.1,Famalicao,1743,Estádio da Capital do Móvel,Miguel Nogueira,/pt/partidas/60adef62/Pacos-de-Ferreira-Famalicao-2021Agosto8-Primeira-Liga,2,0,4-3-3,4-2-3-1,33.0,19.0,6.0,3.0,25.0,12.0,608.0,495.0,16.0,17.0,8.0,12.0,8.0,24.0,0.0,3.0,7.0,9.0,76.0,59.0,2.0,0.0,0.0,4.0,0.0,0.0,André Ferreira,Marco Baixinho,Vitorino Antunes,Maracás,Denílson,Juan Delgado,Luíz Carlos,Lucas Silva,Fernando Ferreira Fonseca,Stephen Eustáquio,Nuno Santos,Jeimes,Hélder Ferreira,Abbas Ibrahim,Zé Uilton,Matchoi Djaló,Jorge Fernando Santos Silva,Rui Pires,Flávio Ramos,Luiz Lúcio Reis Júnior,Rúben Lima,Ivo Rodrigues,Bruno Nascimento,Gustavo Assuncao,Riccieli,Dylan Batubinsika,David Tavares,João Neto,Geovani,Diogo Figueiras,Dalberson,Dani Morer,Calvin Verdonk,André Ricardo,Alexandre Penetra,Francisco Saldanha,Pablo,Lawrence Ofori,P1,08/08/2021,20:30,Pacos Ferreira,Famalicao,2.0,0.0,H,0.0,0.0,D,20.0,10.0,3.0,2.0,33.0,20.0,6.0,3.0,2.0,4.0,0.0,0.0,2.37,3.25,3.0,2.3,3.2,3.1,2.4,3.1,3.1,2.49,3.17,3.17,2.4,3.0,3.1,2.4,3.13,3.0,2.51,3.25,3.23,2.4,3.1,3.07,2.35,1.57,2.4,1.61,2.45,1.63,2.34,1.59,-0.25,2.1,1.8,2.11,1.8,2.12,1.84,2.08,1.78,2.45,3.25,2.8,2.5,3.1,2.9,2.6,2.95,3.0,2.63,3.05,3.13,2.5,3.1,2.88,2.55,2.9,3.0,2.69,3.38,3.13,2.56,2.99,2.97,2.7,1.44,2.84,1.47,2.92,1.52,2.67,1.46,0.0,1.78,2.13,1.79,2.14,1.83,2.17,1.78,2.08
8,8,Regular season,1.0,seg,2021-08-09,20:15,Gil Vicente,1.2,0.8,Boavista,2014,Estádio Cidade de Barcelos,Cláudio Ruivo Pereira,/pt/partidas/d0566319/Gil-Vicente-FC-Boavista-2021Agosto9-Primeira-Liga,3,0,4-3-3,4-4-2,21.0,10.0,1.0,5.0,8.0,17.0,712.0,504.0,14.0,19.0,10.0,14.0,13.0,6.0,1.0,3.0,7.0,7.0,95.0,72.0,3.0,0.0,0.0,3.0,0.0,0.0,Stanislav Kritsyuk,José Carlos,Lucas Cunha,Bilel Aouacheria,Pedro Filipe Barbosa Moreira,Fran Navarro,Kanya Fujimoto,Vitor Carvalho,Rúben Fernandes,Samuel,Talocha,Brian Araújo,Diogo Silva,Emmanuel Hackman,João Caiado,Jean,Henrique Gomes,Matheus Bueno,Murilo Costa,Rafael Bracalli,Javi García,Gustavo Sauer,Yusupha Njie,Tomás Reymão,Jackson Porozo,Sebastián Pérez Cardona,Yanis Hamache,Tiago Fonseca Morais,Luís Santos,Pedro Malheiro,João Gonçalves,Miguel Reisinho,Jeriel Córdova,Berna,,,,,P1,09/08/2021,20:15,Gil Vicente,Boavista,3.0,0.0,H,2.0,0.0,H,9.0,13.0,6.0,5.0,21.0,10.0,1.0,5.0,3.0,3.0,0.0,0.0,2.1,3.1,3.8,2.1,3.1,3.7,2.15,3.15,3.7,2.17,3.2,3.82,2.1,3.1,3.7,2.1,3.13,3.7,2.22,3.26,3.93,2.12,3.14,3.68,2.35,1.57,2.47,1.58,2.49,1.61,2.4,1.56,-0.25,1.83,2.07,1.85,2.05,1.88,2.09,1.81,2.04,1.85,3.25,4.75,1.87,3.0,5.0,1.9,3.15,4.8,1.92,3.23,5.03,1.85,3.25,4.5,1.87,3.2,4.5,1.95,3.34,5.1,1.88,3.16,4.7,2.4,1.53,2.61,1.54,2.69,1.58,2.53,1.51,-0.5,1.89,2.01,1.92,1.99,1.97,2.01,1.89,1.94
9,9,Regular season,2.0,sex,2021-08-13,20:15,Estoril,1.1,0.8,Guimaraes,876,Estádio António Coimbra da Mota,João Ferreira,/pt/partidas/450ff19d/Estoril-Vitoria-Guimaraes-2021Agosto13-Primeira-Liga,0,0,4-3-3,4-3-3,16.0,13.0,4.0,9.0,17.0,29.0,524.0,551.0,13.0,9.0,10.0,7.0,30.0,11.0,2.0,0.0,11.0,13.0,42.0,69.0,2.0,0.0,0.0,4.0,0.0,1.0,Daniel Leite,Carles Soria,Bernardo Vital,Lucas Áfrico,André Clóvis,André Franco,Crespo,Bruno Lourenço,João Gamboa,Joãozinho,Loreintz Rosier,Mosquito,Francisco Geraldes,Chiquinho,Luciano Vega,Leonardo Ruíz,David Bruno,Ryotaro Meshino,Nahuel Ferraresi,Matouš Trmal,Toni Borevkovic,Rafa Soares,Ricardo Quaresma,Bruno Duarte,Marcus Edwards,André André,Falaye Sacko,Alfa Semedo,Jorge Filipe Oliveira Fernandes,Domingos André Ribeiro Almeida,Celton Anssumane Biai,Rúben Lameiras,André Amaro,Rochinha,Sílvio,Tomás Händel,Herculano Nabian,Tiago Silva,P1,13/08/2021,20:15,Estoril,Guimaraes,0.0,0.0,D,0.0,0.0,D,7.0,12.0,1.0,2.0,15.0,14.0,4.0,9.0,1.0,4.0,0.0,1.0,2.7,3.2,2.45,3.0,3.0,2.45,2.85,3.1,2.65,2.99,3.13,2.68,3.0,3.0,2.45,2.8,3.13,2.55,3.22,3.27,2.74,2.88,3.09,2.58,2.15,1.66,2.27,1.68,2.3,1.77,2.21,1.67,0.0,2.04,1.86,2.06,1.86,2.09,1.89,2.02,1.83,2.9,3.2,2.3,3.0,3.0,2.45,3.0,3.1,2.45,3.2,3.22,2.47,3.0,3.2,2.35,3.0,3.2,2.38,3.3,3.39,2.5,3.03,3.13,2.41,2.15,1.66,2.27,1.68,2.3,1.76,2.2,1.67,0.25,1.8,2.1,1.83,2.1,1.84,2.16,1.79,2.07
