Unnamed: 0,Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador18_home,jogador19_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_away,jogador19_away,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
0,1,sex,2022-08-05,20:15,Benfica,2.7,0.4,Arouca,52617,Estádio do Sport Lisboa e Benfica,Manuel Mota,/pt/partidas/964f4501/Benfica-Arouca-2022Agosto5-Primeira-Liga,4.0,0.0,4-2-3-1,5-4-1,7.0,7.0,7.0,1.0,29.0,5.0,923.0,426.0,11.0,17.0,6.0,15.0,9.0,21.0,2.0,2.0,1.0,17.0,84.0,65.0,3.0,0.0,0.0,1.0,1.0,0.0,Odisseas Vlachodimos,Gilberto,Álex Grimaldo,David Neres,Enzo Fernández,João Mário,Rafa Silva,Nicolás Otamendi,Florentino Luís,Gonçalo Ramos,Morato,Helton Leite,Jan Vertonghen,Alexander Bah,Roman Yaremchuk,Chiquinho,Julian Weigl,Petar Musa,Henrique Araújo,Ignacio De Arruabarrena,Jerome Opoku,Quaresma,Arsénio Martins Lafuente Nunes,Alan Ruiz,Antony,João Othavio Basso,Oriol Busquets,Moses Yaw,Rafa Mújica,Tiago Esgaio,Emilijus Zubas,Morlaye Sylla,André Bukia,Bruninho,Bogdan Milovanov,Ismaila Soro,Mustafa Kizza,Vitinho,P1,05/08/2022,20:15,Benfica,Arouca,4.0,0.0,H,3.0,0.0,H,20.0,3.0,6.0,2.0,7.0,6.0,6.0,1.0,3.0,1.0,0.0,1.0,1.14,6.5,17.0,1.15,7.5,18.0,1.15,7.5,17.0,1.15,8.6,21.58,1.15,6.5,21.0,1.13,7.5,19.0,1.17,8.7,21.58,1.15,7.51,18.19,1.47,2.6,1.5,2.66,1.54,2.66,1.49,2.56,-2.0,1.84,2.06,1.81,2.08,1.86,2.14,1.81,2.04,1.12,7.0,17.0,1.15,8.25,15.5,1.15,8.0,18.0,1.13,9.25,23.86,1.11,8.0,21.0,1.11,8.5,19.0,1.15,9.4,23.86,1.13,8.25,19.24,1.44,2.7,1.46,2.8,1.51,2.92,1.43,2.76,-2.25,2.0,1.9,2.0,1.88,2.02,1.95,1.96,1.89
1,1,sáb,2022-08-06,15:30,Rio Ave,0.2,1.4,Vizela,3038,Estádio do Rio Ave Futebol Clube,Gustavo Correia,/pt/partidas/19380804/Rio-Ave-Vizela-2022Agosto6-Primeira-Liga,0.0,1.0,3-4-3,4-3-3,19.0,16.0,6.0,7.0,26.0,15.0,705.0,451.0,16.0,20.0,10.0,10.0,11.0,28.0,1.0,2.0,5.0,8.0,108.0,58.0,7.0,0.0,0.0,4.0,0.0,0.0,Jhonatan,Miguel Nóbrega,Gonçalo Rodrigues,Vítor Gomes,Joca,Abdul-Aziz Yakubu,Costinha,Pedro Amaral,Aderlan Santos,Paulo Vitor,André Pereira,Magrão,Leonardo Ruíz,Amine Oudrhiri,João Ferreira,Ukra,João Graça,Renato Pantalon,Zé Manuel,Fabijan Buntić,Bruno Wilson,Anderson Jesus,Raphael Guzzo,Kiko Bondoso,Monsuru Opeyemi,Alexis Méndez,Samu,Kévin Zohi,Christian Neiva Afonso,Tomás Costa Silva,Manuel Baldé,Carlos Isaac,Diego Rosa,Osama Rashid,Mohamed Aidara,Andrés Sarmiento,Alejandro Alvarado Jr.,Nuno Gonçalo Moreira,P1,06/08/2022,15:30,Rio Ave,Vizela,0.0,1.0,A,0.0,0.0,D,7.0,12.0,0.0,7.0,19.0,16.0,6.0,7.0,7.0,4.0,0.0,0.0,2.2,3.2,3.1,2.3,3.2,3.1,2.35,3.25,3.1,2.31,3.29,3.44,2.35,3.1,3.1,2.2,3.25,3.2,2.36,3.46,3.47,2.28,3.22,3.2,2.07,1.72,2.14,1.76,2.16,1.81,2.06,1.75,-0.25,1.95,1.95,1.97,1.93,2.03,1.96,1.95,1.89,2.0,3.2,3.6,2.05,3.2,3.6,2.15,3.25,3.6,2.13,3.35,3.85,2.1,3.1,3.7,2.05,3.3,3.6,2.33,3.4,3.9,2.12,3.23,3.6,2.1,1.7,2.19,1.74,2.35,1.8,2.11,1.72,-0.25,1.8,2.1,1.82,2.11,1.87,2.12,1.81,2.05
2,1,sáb,2022-08-06,18:00,Estoril,1.8,1.5,Famalicao,1473,Estádio António Coimbra da Mota,Nuno Almeida,/pt/partidas/94baf8c7/Estoril-Famalicao-2022Agosto6-Primeira-Liga,2.0,0.0,4-2-3-1,4-4-2,14.0,11.0,1.0,2.0,7.0,25.0,518.0,576.0,17.0,16.0,8.0,15.0,16.0,13.0,0.0,2.0,9.0,11.0,90.0,85.0,4.0,0.0,0.0,1.0,0.0,0.0,Daniel Leite,Bernardo Vital,Francisco Geraldes,Arthur,Tiago Gouveia,Pedro Álvaro,Mor Ndiaye,Joãozinho,Loreintz Rosier,João Carlos,Gonçalo Esteves,João Oliveira,Volnei Feltes,Rodrigo Martins,Serginho,Elias Achouri,Titouan Thomas,Gilson Tavares,Tiago Araújo,Luiz Lúcio Reis Júnior,Rúben Lima,Alexandre Penetra,André Simões,Álex Millán,Gustavo Assuncao,Junior Kadile,Rui Fonte,Dylan Batubinsika,Martin Agirregabiria,Heriberto Tavares,Ivan Zlobin,Owen Beck,Pedro Brazão,Hernán De La Fuente,Zaydou Youssouf,Jhonder Cádiz,Cláudio Silva,Théo Fonseca,P1,06/08/2022,18:00,Estoril,Famalicao,2.0,0.0,H,2.0,0.0,H,10.0,15.0,5.0,5.0,13.0,11.0,1.0,2.0,4.0,1.0,0.0,0.0,2.5,3.0,2.8,2.5,3.2,2.8,2.55,3.2,2.85,2.65,3.34,2.85,2.5,3.2,2.8,2.55,3.2,2.75,2.65,3.43,2.85,2.55,3.23,2.78,2.07,1.72,2.13,1.77,2.16,1.79,2.06,1.74,0.0,1.89,2.01,1.88,2.03,1.91,2.05,1.86,2.0,2.45,3.0,2.87,2.5,3.0,2.9,2.5,3.1,3.0,2.61,3.18,3.03,2.4,3.0,3.1,2.45,3.2,2.88,2.61,3.27,3.1,2.51,3.1,2.95,2.1,1.7,2.19,1.73,2.28,1.77,2.15,1.7,0.0,1.81,2.09,1.81,2.11,1.84,2.14,1.8,2.08
3,1,sáb,2022-08-06,20:30,Porto,3.2,1.6,Maritimo,46309,Estádio Do Dragão,Hélder Malheiro,/pt/partidas/67a5dac8/Porto-Maritimo-2022Agosto6-Primeira-Liga,5.0,1.0,4-1-2-1-2,4-2-3-1,13.0,11.0,4.0,4.0,9.0,16.0,630.0,473.0,16.0,16.0,11.0,9.0,11.0,22.0,1.0,2.0,10.0,12.0,57.0,59.0,3.0,0.0,0.0,2.0,0.0,0.0,Diogo Costa,Pepe,Iván Marcano,Mateus Uribe,Mehdi Taremi,Pepê,Zaidu Sanusi,Marko Grujić,Danny Loader,João Mário Lopes,Evanilson,Cláudio Ramos,Fábio Cardoso,Gabriel Veron,Galeno,Wendell,Bruno Xavier Almeida Costa,Toni Martínez,Stephen Eustáquio,João Miguel Macedo Silva,Cláudio Winck,Matheus Costa,Zainadine Júnior,André Vidigal,Stefano Beltrame,Diogo Mendes,Miguel Sousa,Xadas,Léo Andrade,Diederrick Joel,Matouš Trmal,Moises Castillo,Pablo Moreno,Jesús Ramírez,Edgar Costa,Clésio Baúque,Luciano Vega,André Teles,P1,06/08/2022,20:30,Porto,Maritimo,5.0,1.0,H,3.0,0.0,H,22.0,9.0,7.0,3.0,13.0,11.0,4.0,4.0,3.0,2.0,0.0,0.0,1.16,7.0,10.0,1.19,6.75,13.5,1.2,6.75,14.0,1.2,7.25,15.9,1.18,6.0,17.0,1.17,6.5,17.0,1.21,7.3,17.0,1.19,6.76,14.21,1.53,2.4,1.55,2.53,1.57,2.6,1.52,2.47,-2.0,2.0,1.9,2.04,1.85,2.05,1.92,1.99,1.85,1.16,7.0,11.0,1.18,7.25,15.0,1.17,7.25,16.0,1.17,8.06,18.14,1.14,6.5,23.0,1.15,7.0,17.0,1.18,8.79,23.0,1.16,7.39,16.26,1.53,2.4,1.53,2.59,1.55,2.7,1.5,2.54,-2.0,1.95,1.95,1.93,1.95,2.0,2.05,1.88,1.96
4,1,dom,2022-08-07,14:30,Santa Clara,0.3,1.3,Casa Pia,1785,Estádio de São Miguel,Bruno Jose Costa,/pt/partidas/c35a0966/Santa-Clara-Casa-Pia-2022Agosto7-Primeira-Liga,0.0,0.0,4-4-2,3-4-3,15.0,13.0,7.0,6.0,21.0,17.0,604.0,557.0,13.0,17.0,14.0,14.0,11.0,28.0,0.0,2.0,7.0,6.0,71.0,52.0,1.0,1.0,0.0,3.0,0.0,0.0,Marco André Rocha Pereira,Kennedy Boateng,Allano,Anderson Carvalho,Kyosuke Tagawa,Ricardinho,Paulo Henrique Rodrigues Cabral,Cristian González,Gabriel Vieira,Victor Bobsin,Pierre Sagna,Ricardo Fernandes,Xavi Quintillà,Rúben Alexandre Gomes Oliveira,Rodrigo Valente,Adriano,Andrezinho,Pedro Bicalho,Paulo Godinho,Ricardo Batista,João Nunes,Leonardo Lelo,Saviour Godwin,Neto,Rafael Martins,Vasco Fernandes,Takahiro Kunimoto,Nermin Zolotić,Afonso Taira,Lucas Soares,Lucas Paes,Eduardo Fereira,Diogo Pinto,Cuca,Rogério Afonso,Isaac Monteiro,Anderson,Yan Brice Eteki,P1,07/08/2022,15:30,Santa Clara,Casa Pia,0.0,0.0,D,0.0,0.0,D,7.0,11.0,3.0,3.0,15.0,12.0,7.0,6.0,1.0,3.0,1.0,0.0,1.95,3.0,4.0,1.95,3.3,3.5,2.05,3.25,3.85,2.1,3.45,3.83,2.05,3.25,3.7,2.0,3.3,3.75,2.11,3.45,4.0,2.03,3.31,3.73,2.15,1.66,2.25,1.69,2.29,1.77,2.14,1.69,-0.5,2.06,1.84,2.1,1.83,2.1,1.86,2.05,1.81,2.15,2.8,3.6,2.15,3.1,3.25,2.2,3.1,3.65,2.23,3.19,3.76,2.15,3.0,3.7,2.1,3.2,3.6,2.23,3.29,4.1,2.16,3.13,3.61,2.35,1.57,2.38,1.63,2.38,1.67,2.3,1.61,-0.25,1.9,2.0,1.89,2.02,1.91,2.06,1.85,2.0
5,1,dom,2022-08-07,18:00,Sp Braga,1.4,1.8,Sp Lisbon,17714,Estádio Municipal de Braga,Fábio Veríssimo,/pt/partidas/90989ec9/Braga-Sporting-CP-2022Agosto7-Primeira-Liga,3.0,3.0,4-4-2,3-4-3,14.0,17.0,3.0,3.0,15.0,13.0,500.0,577.0,14.0,14.0,7.0,14.0,20.0,19.0,2.0,0.0,10.0,13.0,79.0,54.0,2.0,0.0,0.0,2.0,0.0,0.0,Matheus,Victor Perea,Vítor Tormena,Sikou Niakaté,Nuno Sequeira,Almoatasem Al Musrati,André Horta,Ricardo Horta,Simon Banza,Iuri Medeiros,Vitinha,Tiago Sá,Rodrigo Gomes,Abel Ruiz,Álvaro djaló,Paulo Oliveira,Diego Lainez,Jean Gorby,Fabiano,Antonio Adán,Matheus Reis,Sebastián Coates,Hidemasa Morita,Matheus Nunes,Nuno Santos,Francisco Trincão,Paulinho,Pedro Porro,Gonçalo Inácio,Pedro Gonçalves,Franco Israel,Jerry St. Juste,Marcus Edwards,Manuel Ugarte Ribeiro,Rochinha,Abdul Fatawu Issahaku,Ricardo Esgaio,José Marsà,P1,07/08/2022,18:00,Sp Braga,Sp Lisbon,3.0,3.0,D,2.0,2.0,D,15.0,11.0,7.0,4.0,14.0,17.0,3.0,3.0,2.0,2.0,0.0,0.0,3.75,3.25,1.9,3.3,3.4,1.98,3.6,3.4,2.05,3.79,3.73,2.01,3.6,3.3,2.05,3.6,3.4,2.0,3.79,3.73,2.06,3.6,3.47,2.01,1.98,1.88,2.02,1.87,2.03,1.92,1.94,1.85,0.5,1.85,2.05,1.89,2.01,1.9,2.08,1.83,2.01,4.0,3.2,1.9,4.0,3.4,1.8,4.1,3.4,1.95,4.05,3.67,1.96,3.9,3.3,1.95,4.0,3.5,1.87,4.73,3.73,1.99,4.01,3.49,1.91,1.98,1.88,2.0,1.88,2.03,1.91,1.97,1.84,0.5,1.96,1.94,1.94,1.96,2.03,1.99,1.93,1.92
6,1,dom,2022-08-07,20:30,Portimonense,1.3,0.7,Boavista,2590,Estádio do Portimonense SC,Cláudio Ruivo Pereira,/pt/partidas/451775b5/Portimonense-Boavista-2022Agosto7-Primeira-Liga,0.0,1.0,4-1-4-1,3-4-3,13.0,11.0,7.0,1.0,25.0,16.0,762.0,496.0,17.0,16.0,14.0,10.0,12.0,34.0,0.0,1.0,2.0,9.0,87.0,88.0,3.0,0.0,0.0,1.0,0.0,0.0,Samuel Portugal,Willyan,Henrique Jocú,Anderson,Moustapha Seck,Fahd Moufi,Pedro Sá,Filipe Relvas,Paulo Estrela Moreira,Welinton Júnior,Yago Cariello,Payam Niazmand,Kosuke Nakamura,Zié Mohamed Ouattara,Ewerton,Luquinha,Wilinton Aponzá,Rui Gomes,,Rafael Bracalli,Reggie Cannon,Kenji Gorré,Yusupha Njie,Filipe Ferreira,Sebastián Pérez Cardona,Yanis Hamache,Rodrigo Abascal,Gaius Makouta,Luís Santos,Pedro Malheiro,João Gonçalves,Joel silva,Ilija Vukotić,Jeriel Córdova,Júlio Dabo,Martim Tavares,Pedro gomes,Tiago Fonseca Morais,P1,07/08/2022,20:30,Portimonense,Boavista,0.0,1.0,A,0.0,1.0,A,18.0,10.0,8.0,5.0,13.0,11.0,7.0,1.0,3.0,1.0,0.0,0.0,2.0,3.3,3.5,2.1,3.1,3.6,2.1,3.25,3.6,2.08,3.35,3.92,2.1,3.1,3.7,2.05,3.2,3.7,2.13,3.38,3.92,2.09,3.23,3.66,2.3,1.6,2.32,1.65,2.4,1.65,2.32,1.59,-0.25,1.75,2.05,1.78,2.13,1.84,2.13,1.79,2.06,2.2,3.2,3.0,2.25,3.1,3.25,2.25,3.2,3.3,2.4,3.19,3.36,2.25,3.1,3.3,2.3,3.13,3.2,2.4,3.42,3.58,2.29,3.14,3.31,2.2,1.65,2.32,1.66,2.4,1.68,2.28,1.62,-0.25,2.03,1.87,2.03,1.88,2.05,1.95,1.96,1.89
7,1,dom,2022-08-07,20:30,Chaves,0.9,1.0,Guimaraes,7526,Estádio Municipal Eng. Manuel Branco Tei...,Manuel Oliveira,/pt/partidas/813246ed/Chaves-Vitoria-Guimaraes-2022Agosto7-Primeira-Liga,0.0,1.0,4-2-3-1,4-3-3,11.0,20.0,2.0,5.0,31.0,14.0,508.0,480.0,19.0,17.0,6.0,17.0,16.0,34.0,1.0,2.0,5.0,11.0,69.0,57.0,2.0,0.0,0.0,9.0,1.0,1.0,Paulo Vítor Fagundes dos Anjos,Nélson Monte,Bruno Langa,Kevin Pina,João Mendes,João Teixeira,Batxi,Steven Vitória,Héctor,Bernardo Sousa,João Pedro Araújo Correia,Žiga Frelih,Patrick,Sandro Cruz,Ricardo Guimarães,Jonathan Monroy,João Queirós,Hélder Morim,,Bruno Varela,Maga,Mikel Villanueva,Helder Sá,Rúben Lameiras,Tiago Silva,Jota Silva,André Amaro,André Silva,Ibrahima Bamba,Domingos André Ribeiro Almeida,Celton Anssumane Biai,Abdul Mumin,Nelson,Índio,Ryoya Ogawa,Alfa Semedo,Anderson,Antonio Cortés,P1,07/08/2022,20:30,Chaves,Guimaraes,0.0,1.0,A,0.0,1.0,A,14.0,15.0,2.0,6.0,10.0,20.0,2.0,5.0,2.0,9.0,0.0,2.0,2.7,3.2,2.5,2.85,3.25,2.4,2.85,3.3,2.5,2.87,3.37,2.62,2.8,3.2,2.5,2.8,3.2,2.5,2.9,3.4,2.62,2.8,3.26,2.48,2.1,1.7,2.12,1.78,2.17,1.78,2.1,1.71,0.0,2.04,1.86,2.05,1.87,2.11,1.87,2.04,1.81,2.55,3.2,2.6,2.55,3.1,2.75,2.6,3.2,2.75,2.72,3.19,2.88,2.55,3.2,2.75,2.55,3.2,2.75,2.86,3.38,2.88,2.6,3.18,2.74,2.1,1.7,2.16,1.75,2.22,1.75,2.12,1.7,0.0,1.87,2.03,1.9,2.01,1.91,2.04,1.87,1.98
8,1,seg,2022-08-08,20:15,Gil Vicente,1.4,0.9,Pacos Ferreira,4871,Estádio Cidade de Barcelos,André Narciso,/pt/partidas/c4c62ffe/Gil-Vicente-FC-Pacos-de-Ferreira-2022Agosto8-Primeira-Liga,1.0,0.0,4-2-3-1,4-2-3-1,17.0,19.0,8.0,6.0,21.0,18.0,529.0,572.0,9.0,12.0,7.0,10.0,22.0,17.0,5.0,3.0,7.0,7.0,65.0,70.0,1.0,0.0,0.0,6.0,0.0,0.0,Andrew,Lucas Cunha,Fran Navarro,Kanya Fujimoto,Kevin Villodres,Juan Manuel Boselli,Vitor Carvalho,Rúben Fernandes,Henrique Gomes,Matheus Bueno,Danilo Veiga,Brian Araújo,Giorgi Aburjania,Boubacar Hanne,Carraça,Mizuki Arai,Pedro Tiba,Ali Alipour,Tomás Araújo,Jordi Almeida,Nuno Lima,Pedro Ganchas,Vitorino Antunes,Nigel Thomas,Zé Uilton,Nicolás Gaitán,Arthur Sales,Juan Delgado,Luíz Carlos,Rui Pires,José Oliveira,Jordan Holsgrove,Abbas Ibrahim,Matchoi Djaló,Luís Alves,Lucas Silva,Fernando Ferreira Fonseca,,P1,08/08/2022,20:15,Gil Vicente,Pacos Ferreira,1.0,0.0,H,0.0,0.0,D,16.0,12.0,7.0,5.0,17.0,19.0,8.0,6.0,1.0,6.0,0.0,0.0,1.72,3.4,4.5,1.72,3.4,4.33,1.77,3.55,4.7,1.79,3.52,5.14,1.78,3.4,4.75,1.73,3.5,4.8,1.8,3.73,5.2,1.76,3.5,4.76,2.05,1.75,2.17,1.73,2.2,1.8,2.11,1.71,-0.75,1.99,1.91,2.04,1.85,2.04,1.93,1.99,1.85,1.85,3.3,4.2,2.0,3.2,3.3,1.97,3.3,4.0,2.01,3.42,4.17,2.0,3.25,3.8,2.0,3.3,3.75,2.05,3.48,4.69,1.99,3.29,3.94,2.1,1.7,2.2,1.72,2.22,1.75,2.15,1.7,-0.5,1.95,1.95,2.01,1.89,2.05,1.95,1.99,1.86
9,2,sex,2022-08-12,20:15,Famalicao,1.0,2.3,Sp Braga,4637,Estádio Municipal 22 de Junho,Luís Godinho,/pt/partidas/116f625b/Famalicao-Braga-2022Agosto12-Primeira-Liga,0.0,3.0,4-3-3,4-4-2,11.0,14.0,7.0,7.0,23.0,27.0,648.0,657.0,19.0,20.0,12.0,19.0,29.0,20.0,1.0,1.0,12.0,8.0,101.0,108.0,3.0,0.0,0.0,1.0,0.0,0.0,Luiz Lúcio Reis Júnior,Rúben Lima,Alexandre Penetra,André Simões,Álex Millán,Gustavo Assuncao,Junior Kadile,Dylan Batubinsika,Hernán De La Fuente,Zaydou Youssouf,Heriberto Tavares,Ivan Zlobin,Owen Beck,Pedro Brazão,Rui Fonte,Gustavo sá,Pelé,Cláudio Silva,Théo Fonseca,Matheus,Vítor Tormena,Sikou Niakaté,Nuno Sequeira,Almoatasem Al Musrati,André Horta,Ricardo Horta,Simon Banza,Iuri Medeiros,Fabiano,Vitinha,Tiago Sá,Rodrigo Gomes,Abel Ruiz,Álvaro djaló,Paulo Oliveira,Diego Lainez,Lucas Mineiro,Dinis Pinto,P1,12/08/2022,20:15,Famalicao,Sp Braga,0.0,3.0,A,0.0,2.0,A,11.0,24.0,5.0,9.0,11.0,14.0,7.0,7.0,3.0,1.0,0.0,0.0,3.6,3.4,2.0,3.5,3.4,2.0,3.55,3.45,2.05,3.7,3.7,2.05,3.6,3.4,2.0,3.6,3.5,1.95,3.7,3.7,2.07,3.56,3.53,2.02,1.88,1.98,1.87,2.02,1.89,2.03,1.84,1.97,0.5,1.87,2.03,1.87,2.05,1.88,2.05,1.83,2.02,4.2,3.5,1.8,3.7,3.5,1.93,3.8,3.5,1.95,4.14,3.87,1.88,4.2,3.4,1.85,3.9,3.6,1.87,4.37,3.88,2.0,3.87,3.64,1.91,1.75,2.05,1.78,2.12,1.88,2.12,1.8,2.02,0.5,2.03,1.87,2.02,1.88,2.05,1.98,1.92,1.92
