Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,HS,AS,HST,AST,B365H,B365D,B365A,jogador18_home,jogador18_away,jogador19_away,jogador19_home,jogador20_away,jogador20_home
1.0,sex,2018-08-10,20:30,Benfica,1.9,1.0,Guimaraes,55219,Estádio do Sport Lisboa e Benfica,João Pinheiro,/pt/partidas/ccb3880d/Benfica-Vitoria-Guimaraes-2018Agosto10-Primeira-Liga,3,2,4-3-3,4-2-3-1,16.0,25.0,5.0,2.0,10.0,10.0,717.0,434.0,18.0,15.0,8.0,14.0,14.0,18.0,3.0,3.0,6.0,5.0,83.0,70.0,0.0,0.0,0.0,4.0,0.0,0.0,Odisseas Vlachodimos,Álex Grimaldo,Ljubomir Fejsa,Rúben Dias,Franco Cervi,Eduardo Salvio,Facundo Ferreyra,Pizzi,Jardel,André Almeida,Gedson Fernandes,Mile Svilar,Germán Conti,Haris Seferović,Alfa Semedo,Andrija Živković,Andreas Samaris,Douglas,Rafa Soares,João Afonso,João Carlos Teixeira,André André,Tyler Boyd,Yordan Osorio,Alhassan Wakaso,Ola John,Junior Tallo,Dodô,João Miguel Macedo Silva,Alexandre Guedes,Tozé,Florent Hanin,Joseph Amoah,Davidson da Luz Pereira,9.0,9.0,7.0,5.0,1.25,5.75,11.0,,,,,,
1.0,sáb,2018-08-11,16:30,Setubal,1.8,0.3,Aves,5182,Estádio do Bonfim,Hélder Malheiro,/pt/partidas/cedf97d7/Vitoria-Setubal-Aves-2018Agosto11-Primeira-Liga,2,0,4-1-4-1,4-3-3,16.0,16.0,9.0,3.0,36.0,14.0,554.0,438.0,9.0,13.0,14.0,17.0,11.0,29.0,5.0,0.0,9.0,10.0,94.0,84.0,2.0,0.0,0.0,3.0,1.0,1.0,Cristiano Pereira Figueiredo,Mano,Costinha,Vasco Fernandes,Rúben Micael,Nuno Pinto,Nuno Reis,Frédéric Mendy,José Semedo,Zequinha,Jhonder Cádiz,Joel Castro Pereira,Alex,Éber Bessa,Pedro Manuel Mota Pinto,André Martins Sousa,André Pedrosa,Quentin Beunardeau,Rodrigo Alves Soares,Bruno Manuel Araújo Braga,Nildo Petrolina,Nélson Lenho,Amilton,Claudio Falcão,Vítor Gomes,Derley,Diego Galo,Jorge Fellipe,Marco Pinto,Rodrigo Defendi,Rúben Alexandre Gomes Oliveira,Michel,Luis Fariña,Carlos Ponck,13.0,2.0,5.0,1.0,2.25,3.1,3.4,,,,,,
1.0,sáb,2018-08-11,19:00,Tondela,1.3,0.5,Belenenses,2010,Estádio João Cardoso,Luís Godinho,/pt/partidas/ef13f774/Tondela-Belenenses-SAD-2018Agosto11-Primeira-Liga,0,1,4-4-2,4-3-3,14.0,13.0,10.0,4.0,35.0,13.0,491.0,570.0,15.0,15.0,9.0,23.0,18.0,46.0,0.0,0.0,4.0,12.0,100.0,95.0,2.0,0.0,1.0,2.0,0.0,0.0,Cláudio Ramos,Hélder Tavares,Miguel Filipe Nunes Cardoso,Juan Delgado,Tomané,Ricardo Costa,David Bruno,Joãozinho,Bruno Monteiro,Jorge Filipe Oliveira Fernandes,Cristian Arango,Pedro José Moreira Silva,António Xavier,Pité,Jhon Murillo,Sergio Peña,João Reis,Muriel Becker,Vincent Sasso,Diogo Viana,Matija Ljujić,Fredy,Zakarya Bergdich,Gonçalo Silva,Jonatan Lucca,Alhassane Keita,Nuno Miguel Prata Coelho,Reinildo Mandava,Mika,Licá,Dálcio,Pierre Sagna,Henrique Almeida,Nuno Tomás,14.0,6.0,4.0,3.0,2.25,3.1,3.4,,,,,,
1.0,sáb,2018-08-11,21:00,Porto,4.5,0.1,Chaves,46509,Estádio Do Dragão,Nuno Almeida,/pt/partidas/daaffbed/Porto-Chaves-2018Agosto11-Primeira-Liga,5,0,4-4-2,4-3-3,11.0,12.0,7.0,0.0,21.0,6.0,737.0,386.0,19.0,23.0,22.0,14.0,8.0,31.0,4.0,0.0,2.0,14.0,65.0,48.0,0.0,0.0,0.0,2.0,1.0,0.0,Iker Casillas,Maxi Pereira,Diogo Leite,Yacine Brahimi,Vincent Aboubakar,Alex Telles,Héctor Herrera,André Pereira,Otávio,Sérgio Oliveira,Felipe,Vaná,Chidozie Awaziem,Hernâni Fortes,Óliver Torres,Marius Mouandilmadji,Jesús Corona,Ricardo Jorge Novo Nunes,Filipe Melo,Avtandil Ebralidze,Stephen Eustáquio,Gevorg Ghazaryan,William,Luís Martins,Nikola Maraš,Marcão,Bruno Gallo,Filipe Brigues,António Filipe de Carvalho,Nuno André Coelho,Jefferson de Jesus Santos,João Teixeira,Djavan da Silva Ferreira,Niltinho,14.0,2.0,6.0,0.0,1.14,7.0,21.0,,,,,,
1.0,dom,2018-08-12,16:00,Maritimo,2.2,0.8,Santa Clara,5893,Estádio dos Barreiros,Anzhony Rodrigues,/pt/partidas/af740880/Maritimo-Santa-Clara-2018Agosto12-Primeira-Liga,1,0,4-3-3,4-4-2,14.0,9.0,8.0,2.0,35.0,20.0,528.0,470.0,9.0,4.0,15.0,13.0,13.0,25.0,5.0,1.0,10.0,10.0,118.0,68.0,0.0,0.0,0.0,3.0,0.0,0.0,Amir Abedzadeh,Bebeto,Zainadine Júnior,Lucas Áfrico,Jorge Correa,Danny,Edgar Costa,Rúben Rafael Sousa Ferreira,Fabrício Baiano,Ricardo Jorge Oliveira Valente,Diederrick Joel,Charles,Marcão,Rodrigo Pinho,Jean Cléber,Leandro Barrera,Aloísio Souza Genézio,Marco André Rocha Pereira,Fábio Cardoso,Danildo Accioly,Osama Rashid,Pedro Pacheco,Denis Pineda,Thiago Santana,João Paulo Lázaro Lucas,Bruno Lamas,Zé Manuel,Patrick,João Lopes,Rui Pedro Oliveira Silva,Diogo Santos,Minhoca,Kaio Pantaleão,Alfredo Stephens,10.0,9.0,4.0,5.0,1.75,3.4,5.0,,,,,,
1.0,dom,2018-08-12,16:00,Feirense,1.2,0.4,Rio Ave,2646,Estádio Marcolino de Castro,António Nobre,/pt/partidas/b8905632/Feirense-Rio-Ave-2018Agosto12-Primeira-Liga,2,0,4-3-3,4-2-3-1,16.0,8.0,3.0,4.0,11.0,19.0,421.0,582.0,18.0,23.0,32.0,13.0,32.0,12.0,1.0,0.0,,,64.0,91.0,1.0,0.0,0.0,2.0,0.0,0.0,Caio Secco,Antonio Briseño,Babanco,Luís Machado,Tiago Silva,Edson Rodrigues Farias,Bruno Nascimento,Edinho,Rafael Crivellaro,Fábio Sturgeon,Vítor Bruno,Bruno Brigido,Diogo Miguel Guedes Almeida,Cris,João Silva,José Adolfo Valencia,Zé Pedro,Leonardo César Jardim,Jonathan Buatu Mananga,Toni Borevkovic,Ricardo José Vaz Alves Monteiro,João Schmidt,Leandrinho,Eliseu Cassamá,Afonso Figueiredo,Gabriel Airton de Souza,Gelson,Galeno,Carlos Alves,Miguel Fernando Pereira Rodrigues,Bruno Moreira,Junio,Nikola Jambor,Joca,12.0,7.0,5.0,1.0,3.0,3.0,2.5,,,,,,
1.0,dom,2018-08-12,18:30,Moreirense,0.7,2.6,Sp Lisbon,4886,P.D. Comendador Joaquim de Almeida Freit...,Tiago Martins,/pt/partidas/79c6a71c/Moreirense-Sporting-CP-2018Agosto12-Primeira-Liga,1,3,4-4-2,4-2-3-1,21.0,16.0,6.0,4.0,20.0,19.0,568.0,444.0,16.0,22.0,14.0,13.0,29.0,29.0,2.0,3.0,4.0,7.0,75.0,85.0,5.0,0.0,0.0,5.0,0.0,0.0,Jhonatan,João Aurélio,Mohamed Abarhoun,Iago Santos,Rúben Lima,Bilel Aouacheria,Chiquinho,Pedro Nuno,Mamadou Loum,Heriberto Tavares,Neto,Pedro Trigueira,Fábio Pacheco,Alan Eduardo Schons,Nenê,Bruno Silva,Arsénio Martins Lafuente Nunes,Romain Salin,Sebastián Coates,Jefferson Nascimento,Bruno Fernandes,Marcos Acuña,Stefan Ristovski,Rodrigo Battaglia,Nani,Jérémy Mathieu,Radosav Petrović,Bas Dost,Luís Maximiano,André Almeida Pinto,Fredy Montero,Raphinha,Josip Mišić,Bruno Gaspar,3.0,6.0,3.0,4.0,7.5,4.2,1.44,,,,,,
1.0,dom,2018-08-12,20:30,Sp Braga,2.3,1.3,Nacional,12387,Estádio Municipal de Braga,Carlos Xistra,/pt/partidas/3a72d467/Braga-Nacional-2018Agosto12-Primeira-Liga,4,2,4-4-2,4-4-2,13.0,14.0,4.0,2.0,18.0,11.0,535.0,503.0,20.0,11.0,23.0,16.0,15.0,20.0,3.0,2.0,8.0,16.0,81.0,90.0,1.0,0.0,0.0,3.0,0.0,0.0,Matheus,Diogo Figueiras,Nuno Sequeira,Eduardo Teixeira,Ricardo Horta,Claudemir de Souza,Fransérgio,Raul Silva,Bruno Viana,Ricardo Esgaio,Dyego Sousa,Tiago Sá,Wilson Eduardo,Ricardo,Xadas,Pablo Santos,João Novais,Daniel Guimarães,Nuno Vieira Campos,Arthur,Diogo Alexis Rodrigues Coelho,Mauro Cerqueira,Abdullahi Ibrahim Alhassan,João Tiago Serrão Garcês,João Pedro Gomes Camacho,Witi,Bryan Róchez,Vítor Gonçalves,Ohoulo Framelin,Diego Barcelos,Kenji Gorré,Brayan Riascos,Sérgio Marakis,Kalindi Alves de Souza,16.0,10.0,12.0,8.0,1.33,5.0,8.5,,,,,,
1.0,seg,2018-08-13,20:15,Portimonense,1.3,0.8,Boavista,3990,Estádio do Portimonense SC,João Santos Capela,/pt/partidas/19cb4ad4/Portimonense-Boavista-2018Agosto13-Primeira-Liga,0,2,5-4-1,4-2-3-1,19.0,27.0,10.0,4.0,26.0,19.0,516.0,463.0,9.0,24.0,13.0,16.0,19.0,45.0,1.0,0.0,9.0,7.0,101.0,72.0,0.0,0.0,0.0,4.0,0.0,0.0,Ricardo Abel Barbosa Ferreira,Lucas Possignolo,Emmanuel Hackman,Dener,Shoya Nakajima,Bruno Tabata,Felipe Macedo,Wilson Manafá,Pedro Sá,Rúben Fernandes,Wellington,Leonardo Navacchio,Theo Ryuki,Jean Felipe,Taofiq Jibril,Ewerton,,Helton Leite,Raphael,Talocha,Rochinha,David Simão,Mateus Galiano da Costa,Fábio Espinho,Carraça,Neris,Federico Falcone,Idrissa Mandiang,Rafael Bracalli,André Claro,Edu Machado,Stéphane Sparagna,Rafael Costa,Rafael Lopes,8.0,9.0,3.0,4.0,2.14,3.1,3.6,,,,,,
2.0,sex,2018-08-17,20:30,Aves,2.4,0.9,Tondela,1872,Estádio Clube Desportivo das Aves,Artur Soares Dias,/pt/partidas/edc8a385/Aves-Tondela-2018Agosto17-Primeira-Liga,2,2,4-2-3-1,4-4-2,14.0,14.0,5.0,9.0,24.0,19.0,507.0,449.0,14.0,11.0,13.0,14.0,31.0,22.0,2.0,0.0,16.0,11.0,85.0,97.0,3.0,0.0,0.0,3.0,0.0,0.0,Quentin Beunardeau,Rodrigo Alves Soares,Rodrigo Defendi,Bruno Manuel Araújo Braga,Nildo Petrolina,Nélson Lenho,Amilton,Carlos Ponck,Vítor Gomes,Derley,Issam El Adoua,Marco Pinto,Vitor Costa,Rúben Alexandre Gomes Oliveira,Michel,Hamdou Elhouni,Diego Galo,Cláudio Ramos,Hélder Tavares,Miguel Filipe Nunes Cardoso,Juan Delgado,Sergio Peña,Fahd Moufi,Tomané,Joãozinho,Bruno Monteiro,Jorge Filipe Oliveira Fernandes,Cristian Arango,Pedro José Moreira Silva,Azongha Tembeng Abenego,António Xavier,Jhon Murillo,João Reis,João Mendes,16.0,12.0,6.0,5.0,2.14,3.0,3.8,,,,,,
